,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,RSI,UpperBand,MiddleBand,LowerBand
0,AAPL240802C00100000,2024-07-29 16:08:35+00:00,100.0,118.68,120.75,122.55,0.0,0.0,12.0,19.0,4.363285795898436,1.0,REGULAR,USD,C,,,,
1,AAPL240802C00115000,2024-07-01 14:19:54+00:00,115.0,100.06,106.65,107.6,0.0,0.0,4.0,4.0,2.718753203125,1.0,REGULAR,USD,C,,,,
2,AAPL240802C00125000,2024-07-31 19:34:43+00:00,125.0,96.85,96.65,97.6,4.720001,5.123197,28.0,7.0,2.3906290234374996,1.0,REGULAR,USD,C,,,,
3,AAPL240802C00135000,2024-07-31 19:20:21+00:00,135.0,86.95,85.8,87.6,2.8299942,3.3642344,2.0,10.0,2.9101589746093754,1.0,REGULAR,USD,C,,,,
4,AAPL240802C00140000,2024-07-31 19:20:21+00:00,140.0,81.95,80.8,82.6,3.699997,4.7284307,8.0,2.0,2.7246125634765628,1.0,REGULAR,USD,C,,122.3044791736281,96.898,71.4915208263719
5,AAPL240802C00145000,2024-07-31 17:49:22+00:00,145.0,77.09,76.65,77.6,3.8399963,5.242316,10.0,155.0,1.8203133984375,1.0,REGULAR,USD,C,,105.98843933269146,88.58,71.17156066730854
6,AAPL240802C00150000,2024-07-31 19:42:29+00:00,150.0,72.57,70.8,72.6,5.5699997,8.313433,9.0,120.0,2.3691447021484366,1.0,REGULAR,USD,C,,99.8678721548808,83.082,66.29612784511919
7,AAPL240802C00155000,2024-07-31 19:42:29+00:00,155.0,67.57,65.8,67.6,5.540001,8.931165,21.0,73.0,2.198246691894531,1.0,REGULAR,USD,C,,90.84385651268221,77.22599999999998,63.60814348731776
8,AAPL240802C00160000,2024-07-31 19:56:18+00:00,160.0,62.64,60.9,62.6,5.7700005,10.145948,22.0,16.0,2.031254921875,1.0,REGULAR,USD,C,,85.98185651268209,72.36399999999999,58.746143487317894
9,AAPL240802C00165000,2024-07-31 19:52:32+00:00,165.0,56.5,55.9,57.6,2.1500015,3.9558446,21.0,46.0,1.8691412792968751,1.0,REGULAR,USD,C,,81.75273254121358,67.27399999999999,52.795267458786405
10,AAPL240802C00170000,2024-07-31 17:01:22+00:00,170.0,52.9,51.75,52.65,4.1500015,8.512824,18.0,151.0,1.3476595117187498,1.0,REGULAR,USD,C,,76.72638613893953,62.43599999999999,48.145613861060454
11,AAPL240802C00175000,2024-07-31 17:23:20+00:00,175.0,47.97,46.65,47.65,5.550003,13.083459,13.0,329.0,1.1328168359375002,1.0,REGULAR,USD,C,,71.39559999423626,57.515999999999984,43.636400005763704
12,AAPL240802C00180000,2024-07-31 17:24:51+00:00,180.0,41.86,40.85,42.65,2.2999992,5.8139515,36.0,545.0,1.4287137939453123,1.0,REGULAR,USD,C,,66.5903488983635,52.37399999999999,38.157651101636475
13,AAPL240802C00185000,2024-07-31 18:14:59+00:00,185.0,38.02,36.7,37.65,5.2700005,16.091604,36.0,834.0,0.9335944140625,1.0,REGULAR,USD,C,,61.07493009156373,47.449999999999996,33.82506990843626
14,AAPL240802C00190000,2024-07-31 19:47:34+00:00,190.0,32.74,31.75,32.7,3.1900024,10.795271,31.0,777.0,0.86914193359375,1.0,REGULAR,USD,C,0.0,56.94222633911719,42.69799999999999,28.453773660882796
15,AAPL240802C00195000,2024-07-31 19:57:33+00:00,195.0,27.37,26.75,27.75,3.380001,14.089209,72.0,9901.0,0.764650791015625,1.0,REGULAR,USD,C,0.0,51.85055757080632,37.592,23.333442429193674
16,AAPL240802C00197500,2024-07-31 19:51:25+00:00,197.5,24.55,24.25,25.25,3.1099987,14.505591,10.0,270.0,0.70117486328125,1.0,REGULAR,USD,C,0.0,45.7711156412433,32.908,20.044884358756704
17,AAPL240802C00200000,2024-07-31 19:55:55+00:00,200.0,22.91,21.85,22.8,3.209999,16.29441,500.0,9875.0,0.6835969140625001,1.0,REGULAR,USD,C,0.0,40.24727239310809,29.118000000000002,17.988727606891914
18,AAPL240802C00202500,2024-07-31 19:29:59+00:00,202.5,19.54,19.45,20.35,4.3100014,28.299417,24.0,144.0,0.6523472265625001,1.0,REGULAR,USD,C,0.0,34.322169886018955,25.421999999999997,16.521830113981036
19,AAPL240802C00205000,2024-07-31 19:36:18+00:00,205.0,17.69,17.0,18.05,2.4900007,16.381584,113.0,4223.0,0.629886513671875,1.0,REGULAR,USD,C,0.0,29.33711256226198,22.411999999999995,15.486887437738012
20,AAPL240802C00207500,2024-07-31 19:27:55+00:00,207.5,14.72,14.7,15.7,2.0700006,16.363642,114.0,806.0,0.6074258007812501,1.0,REGULAR,USD,C,0.0,26.954599522099258,19.881999999999994,12.80940047790073
21,AAPL240802C00210000,2024-07-31 19:51:47+00:00,210.0,13.35,12.5,14.4,2.5500002,23.611113,2782.0,2718.0,0.6899445068359377,1.0,REGULAR,USD,C,0.0,24.472278471629018,17.641999999999992,10.811721528370967
22,AAPL240802C00212500,2024-07-31 19:58:21+00:00,212.5,11.07,10.55,12.25,1.8099995,19.546429,272.0,1245.0,0.6728548339843752,1.0,REGULAR,USD,C,0.0,21.321685176991146,15.273999999999996,9.226314823008845
23,AAPL240802C00215000,2024-07-31 19:57:06+00:00,215.0,9.0,8.75,10.35,1.9499998,27.65957,1373.0,5542.0,0.6669955175781253,1.0,REGULAR,USD,C,0.0,19.143566059860667,13.165999999999997,7.188433940139326
