model,smape_pct_mean,smape_pct_se,mae_mean,mae_se,rmse_mean,rmse_se,diracc_pct_mean,diracc_pct_se,feature_count
CP,123.70585738754946,,2.0325391675708438e-06,,3.445888546012956e-05,,69.28520456707898,,6
CP_CJ,123.70585738754946,,2.0325391675708438e-06,,3.445888546012956e-05,,69.28520456707898,,6
EXH,146.04703492793604,,2.4323097204586934e-06,,3.744079584515405e-05,,48.673882017126544,,15
HAM,145.81248423078551,,2.3812516568741176e-06,,3.731967653313197e-05,,43.987868696479545,,12
HAR,146.07769480181497,,2.404787171751181e-06,,3.740795552987094e-05,,42.296027592768795,,3
HAR_CJ,145.1346217819048,,2.486511710386036e-06,,3.8822935363549475e-05,,40.690413891531875,,9
HAR_J,144.5945526390663,,2.4626022447097175e-06,,3.8618158776982544e-05,,44.49036631779258,,9
HAR_TCJ,144.8253075107869,,2.374618999477842e-06,,3.741734428072569e-05,,43.24750237868697,,9
PM,145.76646171074313,,2.3632243201081507e-06,,3.7285561371235534e-05,,42.9144862036156,,6
PM_AD,145.92880773495628,,2.4013440911002935e-06,,3.74132135602574e-05,,44.445765937202665,,6
PM_VW,145.88421358374055,,2.4030547354927586e-06,,3.741538097792787e-05,,44.246550903901046,,6
RAND,145.94254976481608,,2.4088235493833793e-06,,3.740990717276939e-05,,49.26558039961941,,6
