ticker,baseline,model,family,feature_count,seed,offset,suite,n_obs,delta_smape_pp,delta_mae,win_rate_pct,dm_abs_stat,dm_abs_p,dm_smape_stat,dm_smape_p
AAPL,HAR,PM_FC3,PM_FC,3.0,,,capacity,36739,1.3426486055026334,1.2951607194180012e-05,51.10917553553445,7.942699606762974,1.978276388815256e-15,13.456635489122425,2.814424051578298e-41
AAPL,HAR,CP_FC3,CP_FC,3.0,,,capacity,36739,1.1653823732730324,1.0940391465757361e-05,51.24527069326873,7.473022553253791,7.837340865213857e-14,13.352322682255357,1.1481237123884444e-40
AAPL,HAR,EQWIN_FC3,EQWIN,3.0,,,capacity,36739,1.8631602452089981,2.0442368227083585e-05,53.21048477095185,11.488563140791182,1.5059588479118567e-30,17.628262312374275,1.4949131081614196e-69
AAPL,HAR,PREFIX_FC3,PREFIX,3.0,,,capacity,36739,1.9347973765054034,2.154929732889963e-05,53.294863768747106,11.910978077321774,1.0375303215406762e-32,18.049515621578422,7.958560937893312e-73
AAPL,HAR,PM_FC6,PM_FC,6.0,,,capacity,36739,1.3422839048579442,1.2855845678260702e-05,51.049293666131355,7.8580741246074,3.900844535847285e-15,13.448998027369864,3.1207227609145043e-41
AAPL,HAR,CP_FC6,CP_FC,6.0,,,capacity,36739,1.8395051628947572,2.0039406811991614e-05,52.98728871226762,11.12671355784285,9.30014376874684e-29,16.15788102169632,9.993824736509133e-59
AAPL,HAR,EQWIN_FC6,EQWIN,6.0,,,capacity,36739,2.001696891376289,2.2350760749803797e-05,53.439124635945454,12.09682248420141,1.0977867054762305e-33,18.16325243149092,1.0086794315962773e-73
AAPL,HAR,PREFIX_FC6,PREFIX,6.0,,,capacity,36739,2.062719333900076,2.3056131082066572e-05,53.44729034540951,12.582861252573569,2.623523974767165e-36,18.98750929876009,2.163495695271341e-80
AAPL,HAR,PM_FC9,PM_FC,9.0,,,capacity,36739,1.3362296577742023,1.2818455973383742e-05,51.220773564876566,7.840835012231132,4.475601772720975e-15,13.34970179970206,1.1892402444734803e-40
AAPL,HAR,CP_FC9,CP_FC,9.0,,,capacity,36739,2.0363673339554453,2.279417771817164e-05,53.033561065897274,12.245136328984948,1.783770966718177e-34,16.49342565983911,4.090837134386397e-61
AAPL,HAR,EQWIN_FC9,EQWIN,9.0,,,capacity,36739,2.04029301335121,2.2857363766703884e-05,53.433680829636074,12.354781295701251,4.5900273454755474e-35,18.56906410161512,5.7191123678847234e-77
AAPL,HAR,PREFIX_FC9,PREFIX,9.0,,,capacity,36739,2.058601814042564,2.2938650346021396e-05,53.460899861182945,12.298520473454294,9.224836579772552e-35,18.46737368679069,3.780339030075741e-76
