baseline,model,family,feature_count,suite,n_tickers,delta_smape_pp_mean,delta_smape_pp_se,delta_mae_mean,delta_mae_se,win_rate_pct_mean,win_rate_pct_se
HAR,CP_FC3,CP_FC,3.0,capacity,10,0.7251551639069087,0.19900495862886997,8.828516736827156e-06,1.1323160057638828e-06,44.82295487501317,3.2693968359473904
HAR,CP_FC6,CP_FC,6.0,capacity,10,1.2335625709346367,0.3502600008248228,1.5132091861983224e-05,1.7717111217864823e-06,45.44733234834452,3.4757283131106385
HAR,CP_FC9,CP_FC,9.0,capacity,10,1.2951477901286235,0.37772547488042496,1.704469334550571e-05,2.0697036140942274e-06,45.26080989251375,3.473687754787371
HAR,EQWIN_FC3,EQWIN,3.0,capacity,10,1.171041719352703,0.2687230270971433,1.4989783166046925e-05,2.244203554915957e-06,45.65430021740707,3.315121436047506
HAR,EQWIN_FC6,EQWIN,6.0,capacity,10,1.2293628029943462,0.28566266484568975,1.591623354483525e-05,2.4335155842361577e-06,45.757570488787835,3.3454102660738347
HAR,EQWIN_FC9,EQWIN,9.0,capacity,10,1.2278757536282456,0.29115499007697226,1.5972980363430114e-05,2.5187859434593717e-06,45.78064207982446,3.350821673505582
HAR,PREFIX_FC3,PREFIX,3.0,capacity,10,1.1948743652056106,0.2780890063366131,1.5093325119658506e-05,2.378611515467594e-06,45.70734388271687,3.337791252389797
HAR,PREFIX_FC6,PREFIX,6.0,capacity,10,1.2296350333377866,0.2933732399351741,1.6006525079932583e-05,2.5900969869378313e-06,45.88346831658706,3.3560238317158686
HAR,PREFIX_FC9,PREFIX,9.0,capacity,10,1.2272575142532642,0.29252833346428975,1.5954969060035768e-05,2.5562317165821116e-06,45.90985117079056,3.356557595275036
HAR,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,contiguous,10,1.075692367476748,0.25352796699075414,1.3488346052776233e-05,1.9619363816037024e-06,45.27899302178095,3.259173769798916
HAR,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,contiguous,10,1.227403779937978,0.28346052807090893,1.594003069857204e-05,2.4545534971366878e-06,45.81660349435541,3.3783619023068767
HAR,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,contiguous,10,1.0892062241489064,0.2618221632645302,1.3867652325906643e-05,2.052147003397739e-06,45.121192414515974,3.2521779884525843
HAR,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,contiguous,10,1.0854812132612577,0.26489624622398156,1.3968552776164132e-05,2.0299784930681746e-06,45.33774807044572,3.2715823150149514
HAR,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,contiguous,10,1.0957238581746576,0.26461025771160324,1.4056641746326497e-05,2.0617601905013754e-06,45.40359563709849,3.2712858547776476
HAR,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,contiguous,10,1.0906865636939085,0.26385778651923153,1.4004042555776123e-05,2.0444667404697756e-06,45.33673600479546,3.293828771624458
