baseline,model,family,feature_count,suite,n_tickers,delta_smape_pp_mean,delta_smape_pp_se,delta_mae_mean,delta_mae_se,win_rate_pct_mean,win_rate_pct_se
HAR,CP_FC3,CP_FC,3.0,capacity,10,0.7251551639069087,0.19900495862886997,8.828516736827156e-06,1.1323160057638828e-06,44.82295487501317,3.2693968359473904
HAR,CP_FC6,CP_FC,6.0,capacity,10,1.2335625709346367,0.3502600008248228,1.5132091861983224e-05,1.7717111217864823e-06,45.44733234834452,3.4757283131106385
HAR,CP_FC9,CP_FC,9.0,capacity,10,1.2951477901286235,0.37772547488042496,1.704469334550571e-05,2.0697036140942274e-06,45.26080989251375,3.473687754787371
HAR,EQWIN_FC3,EQWIN,3.0,capacity,10,1.171041719352703,0.2687230270971433,1.4989783166046925e-05,2.244203554915957e-06,45.65430021740707,3.315121436047506
HAR,EQWIN_FC6,EQWIN,6.0,capacity,10,1.2293628029943462,0.28566266484568975,1.591623354483525e-05,2.4335155842361577e-06,45.757570488787835,3.3454102660738347
HAR,EQWIN_FC9,EQWIN,9.0,capacity,10,1.2278757536282456,0.29115499007697226,1.5972980363430114e-05,2.5187859434593717e-06,45.78064207982446,3.350821673505582
HAR,PM_FC3,PM_FC,3.0,capacity,10,0.7696961615636374,0.20606206105418082,9.36500127632862e-06,1.3040605243111003e-06,43.775288569401155,3.040093975432136
HAR,PM_FC6,PM_FC,6.0,capacity,10,0.7678074599007966,0.2095697323392787,9.328394236611361e-06,1.3159614737032558e-06,43.87075932440003,3.056252785856441
HAR,PM_FC9,PM_FC,9.0,capacity,10,0.7663585998405407,0.2100960051022686,9.251388478951637e-06,1.3214378840424962e-06,43.977941182868854,3.0735048452043974
HAR,PREFIX_FC3,PREFIX,3.0,capacity,10,1.1948743652056106,0.2780890063366131,1.5093325119658506e-05,2.378611515467594e-06,45.70734388271687,3.337791252389797
HAR,PREFIX_FC6,PREFIX,6.0,capacity,10,1.2296350333377866,0.2933732399351741,1.6006525079932583e-05,2.5900969869378313e-06,45.88346831658706,3.3560238317158686
HAR,PREFIX_FC9,PREFIX,9.0,capacity,10,1.2272575142532642,0.29252833346428975,1.5954969060035768e-05,2.5562317165821116e-06,45.90985117079056,3.356557595275036
HAR,CP,CP_FC,10.0,capacity,10,1.2902974222090375,0.37837749172319235,1.7524929103807603e-05,2.1637345244342293e-06,45.266547225511744,3.4721788478554756
HAR,PM,PM_FC,10.0,capacity,10,0.7647970299841713,0.20997776830887263,9.229388820440997e-06,1.3195484464569434e-06,43.986620710050936,3.066021679587415
