baseline,model,family,feature_count,suite,n_tickers,delta_smape_pp_mean,delta_smape_pp_se,delta_mae_mean,delta_mae_se,win_rate_pct_mean,win_rate_pct_se
CP,COMP_COPRIME_FC6,COMP_COPRIME,6.0,modulo,10,-0.5228534699045978,0.18773060256250887,-8.192704793278777e-06,1.590867932074532e-06,41.89115894944972,2.4749518645594804
CP,COMP_COPRIME_FC9,COMP_COPRIME,9.0,modulo,10,-0.5215877097562207,0.18495296573909725,-8.150494228008426e-06,1.5673860174839743e-06,41.87939537003498,2.4895398965870337
CP,COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,modulo,10,-0.535072052448486,0.18588501929783785,-8.335344159607408e-06,1.5973217164212938e-06,41.8410419085382,2.4678079987757964
CP,COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,modulo,10,-0.5318755835040652,0.185162876475208,-8.289598570366553e-06,1.5844121191323682e-06,41.914246686930895,2.4599274846611436
CP,CP_FC3,CP_FC,3.0,capacity,10,-0.5651422583021284,0.1841037031897743,-8.696412366980448e-06,1.6225258123758505e-06,40.79058507738216,2.239450040784582
CP,CP_FC6,CP_FC,6.0,capacity,10,-0.056734851274400644,0.04488963521801669,-2.392837241824379e-06,5.079061151231709e-07,40.792193422949424,2.3591544119892154
CP,CP_FC9,CP_FC,9.0,capacity,10,0.0048503679195862895,0.009718908113585754,-4.802357583018961e-07,1.3104666840817722e-07,41.350902685280374,2.4714318938806343
CP,CRS_FC3_S0,CRS,3.0,random,10,-0.12990257222288437,0.13748240056950706,-2.8869223351292107e-06,1.2341903064711087e-06,42.545428925542026,2.427543229356071
CP,CRS_FC3_S1,CRS,3.0,random,10,-0.6856258834459661,0.2210061515421724,-1.0180162512351179e-05,1.4458721136488196e-06,40.25864216209888,2.016034605070623
CP,CRS_FC3_S2,CRS,3.0,random,10,-0.28290070922957283,0.15227404320863194,-5.033559590841593e-06,1.2623504907919213e-06,41.997285492863234,2.3836778720206566
CP,CRS_FC6_S0,CRS,6.0,random,10,-0.06835926980176202,0.12649673131274186,-1.7747785438574166e-06,1.3248407917237408e-06,42.68338155280968,2.478939912384979
CP,CRS_FC6_S1,CRS,6.0,random,10,-0.3517611069781247,0.15019601748745398,-4.954762933965341e-06,1.2160560167541308e-06,41.59731047046664,2.236821383134531
CP,CRS_FC6_S2,CRS,6.0,random,10,-0.25070486045275314,0.145965651574428,-4.3168426806356564e-06,1.2572271580744828e-06,41.78861066958993,2.3218550105405114
CP,CRS_FC9_S0,CRS,9.0,random,10,-0.07725156714092338,0.12384778030593778,-1.823338786769367e-06,1.3391419512744485e-06,42.62296741260907,2.4913374371488226
CP,CRS_FC9_S1,CRS,9.0,random,10,-0.3704169743460627,0.1434820364411687,-5.167996308701856e-06,1.241114769492301e-06,41.50725468884044,2.2458408353415114
CP,CRS_FC9_S2,CRS,9.0,random,10,-0.1977443142615155,0.14183148408214505,-3.773982872858817e-06,1.3163657647725998e-06,42.39580786755072,2.4642970456632707
CP,EQWIN_FC3,EQWIN,3.0,capacity,10,-0.11925570285633433,0.13345056729002738,-2.535145937760679e-06,1.3120299004299776e-06,42.62757965484495,2.498517619370403
CP,EQWIN_FC6,EQWIN,6.0,capacity,10,-0.06093461921469101,0.12054876284972876,-1.6086955589723546e-06,1.333119352121758e-06,42.47332559490335,2.4327312686094724
CP,EQWIN_FC9,EQWIN,9.0,capacity,10,-0.06242166858079148,0.12154727047133773,-1.551948740377485e-06,1.393574614512905e-06,42.602592351742835,2.471244806058934
CP,EWMA,EWMA,,external,10,-12.056082487429283,1.4668322102812024,-0.0003887009958531986,5.250918515573082e-05,26.18017986182566,0.7779921354768858
CP,GARCH11,GARCH11,,external,10,-18.16633391361962,2.5240041904408588,-0.00047923281026629477,6.899454900581075e-05,21.928197444206646,0.9432940658501993
CP,HAR,HAR,0.0,core,10,-1.2902974222090375,0.37837749172319235,-1.7524929103807603e-05,2.1637345244342293e-06,38.13587890035878,1.6125824846216927
CP,HARQ,HARQ,4.0,external,10,-0.9684525548040019,0.22043607189009803,-0.0036100193346828464,0.0034756607570613518,39.13348632270565,1.931638386812007
CP,HAR_TCJ,HAR_TCJ,,external,10,-1.2218231938619948,0.41947108237089814,-1.9454056924188386e-05,5.977024768786035e-06,43.779421944482344,1.2755712339876717
CP,PM,PM,10.0,core,10,-0.5255003922248661,0.18406187179906813,-8.295540283366604e-06,1.540461127245479e-06,41.975996982383286,2.470568786624751
CP,PM_FC3,PM_FC,3.0,capacity,10,-0.5206012606453999,0.18758418874657823,-8.159927827478982e-06,1.5302193232413911e-06,41.85112333006775,2.475174233021638
CP,PM_FC6,PM_FC,6.0,capacity,10,-0.5224899623082407,0.18427582217784455,-8.19653486719624e-06,1.528146490075166e-06,41.920793094311755,2.4703077696550815
CP,PM_FC9,PM_FC,9.0,capacity,10,-0.5239388223684965,0.18404759017211375,-8.273540624855964e-06,1.5343129256605456e-06,42.00213878584295,2.472701768786995
CP,PREFIX_FC3,PREFIX,3.0,capacity,10,-0.09542305700342646,0.1300913988822474,-2.431603984149098e-06,1.2784625994549345e-06,42.66792091074896,2.5164826450231685
CP,PREFIX_FC6,PREFIX,6.0,capacity,10,-0.06066238887125071,0.1230725768904954,-1.518404023875018e-06,1.3813930777315006e-06,42.50003542200204,2.4613431472059126
CP,PREFIX_FC9,PREFIX,9.0,capacity,10,-0.06303990795577297,0.12077861485536567,-1.5699600437718327e-06,1.359591708007641e-06,42.48371611290733,2.4529782788564396
CP,RAND_FC3_S0,RAND,3.0,random,10,-0.6326194154071104,0.20370464244169464,-9.612718356052633e-06,1.644473928274578e-06,41.288866943754684,2.3228066919356727
CP,RAND_FC3_S1,RAND,3.0,random,10,-0.49718555018499855,0.1850050527832163,-7.735266143985285e-06,1.4569521354276575e-06,41.749856422880015,2.4413216063336973
CP,RAND_FC3_S2,RAND,3.0,random,10,-0.5093467814320624,0.19669320063220586,-8.036044074592082e-06,1.42926459089576e-06,41.810338608811236,2.3057815403559476
CP,RAND_FC6_S0,RAND,6.0,random,10,-0.6238285113846466,0.20004028514029568,-9.538118128958425e-06,1.6447062998829397e-06,41.43907620844071,2.3441588707722647
CP,RAND_FC6_S1,RAND,6.0,random,10,-0.4883678617196356,0.17891490701487892,-7.4972290472651476e-06,1.4244099568989516e-06,41.77085947989361,2.437228566551057
CP,RAND_FC6_S2,RAND,6.0,random,10,-0.38473402616847585,0.16968730990338557,-6.24850213251405e-06,1.323052849317501e-06,41.99427928955966,2.350023983288015
CP,RAND_FC9_S0,RAND,9.0,random,10,-0.5899392493728729,0.19065747085446785,-9.183470563778488e-06,1.681818147658852e-06,41.58057422971425,2.37174395389822
CP,RAND_FC9_S1,RAND,9.0,random,10,-0.43271552604495733,0.17070748698753302,-6.8563116308832546e-06,1.368099273821104e-06,42.1058352228142,2.482246218489115
CP,RAND_FC9_S2,RAND,9.0,random,10,-0.3418165826233689,0.1632893403200291,-5.675253076144827e-06,1.2955276601860375e-06,42.135294056028066,2.3778753507210793
CP,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,contiguous,10,-0.21460505473228947,0.14261879144746736,-4.036583051031367e-06,1.2756785698437145e-06,42.380816640485534,2.461728989191991
CP,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,contiguous,10,-0.06289364227105944,0.1252047496403189,-1.5848984052355619e-06,1.3515009592307708e-06,42.45695842313373,2.4516101001267705
CP,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,contiguous,10,-0.20109119806013093,0.13747720723355517,-3.657276777900959e-06,1.2745938912073276e-06,42.408832636581835,2.4942552555093847
CP,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,contiguous,10,-0.20481620894777947,0.13193657045660326,-3.5563763276434725e-06,1.2704085635865093e-06,42.27874123557369,2.44564667477706
CP,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,contiguous,10,-0.19457356403437973,0.1327939486279526,-3.468287357481104e-06,1.2820551555561799e-06,42.368806820398355,2.456206307115315
CP,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,contiguous,10,-0.19961085851512894,0.1326181899054016,-3.520886548031476e-06,1.292414906549504e-06,42.329145459927744,2.4614872728674246
HAR,COMP_COPRIME_FC6,COMP_COPRIME,6.0,modulo,10,0.7674439523044394,0.206014141209439,9.332224310528822e-06,1.290864065399651e-06,43.867246223283225,3.060472075469962
HAR,COMP_COPRIME_FC9,COMP_COPRIME,9.0,modulo,10,0.7687097124528166,0.21036488850530718,9.374434875799175e-06,1.3349388217749013e-06,43.910431641386566,3.064904555140032
HAR,COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,modulo,10,0.7552253697605511,0.20676586364910618,9.189584944200193e-06,1.276048562078628e-06,43.80331206206101,3.0335760620757206
HAR,COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,modulo,10,0.7584218387049722,0.2083459833219916,9.23533053344105e-06,1.2922789373312113e-06,43.982281811448004,3.0564967639591916
HAR,CP,CP,10.0,core,10,1.2902974222090375,0.37837749172319235,1.7524929103807603e-05,2.1637345244342293e-06,45.266547225511744,3.4721788478554756
HAR,CP_FC3,CP_FC,3.0,capacity,10,0.7251551639069087,0.19900495862886997,8.828516736827156e-06,1.1323160057638828e-06,44.82295487501317,3.2693968359473904
HAR,CP_FC6,CP_FC,6.0,capacity,10,1.2335625709346367,0.3502600008248228,1.5132091861983224e-05,1.7717111217864823e-06,45.44733234834452,3.4757283131106385
