time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-08 23:10:41 UTC,AMZN,capacity,PM_FC3,PM_FC,3,complete,36739,412.593859635,
2026-06-08 23:17:14 UTC,AMZN,capacity,CP_FC3,CP_FC,3,complete,36739,392.82892040600007,
2026-06-08 23:24:12 UTC,AMZN,capacity,EQWIN_FC3,EQWIN,3,complete,36739,417.92027202099996,
2026-06-08 23:31:14 UTC,AMZN,capacity,PREFIX_FC3,PREFIX,3,complete,36739,422.73262744700014,
2026-06-08 23:39:44 UTC,AMZN,capacity,PM_FC6,PM_FC,6,complete,36739,510.02735561400004,
2026-06-08 23:48:12 UTC,AMZN,capacity,CP_FC6,CP_FC,6,complete,36739,507.38532598899974,
2026-06-08 23:57:16 UTC,AMZN,capacity,EQWIN_FC6,EQWIN,6,complete,36739,544.0660917659998,
2026-06-09 00:06:18 UTC,AMZN,capacity,PREFIX_FC6,PREFIX,6,complete,36739,542.378164318,
2026-06-09 00:16:42 UTC,AMZN,capacity,PM_FC9,PM_FC,9,complete,36739,623.5961459770001,
2026-06-09 00:26:47 UTC,AMZN,capacity,CP_FC9,CP_FC,9,complete,36739,605.1384264620001,
2026-06-09 00:37:41 UTC,AMZN,capacity,EQWIN_FC9,EQWIN,9,complete,36739,653.5231114650005,
2026-06-09 00:48:57 UTC,AMZN,capacity,PREFIX_FC9,PREFIX,9,complete,36739,676.0259365689999,
