time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-09 01:39:15 UTC,FXI,capacity,PM_FC3,PM_FC,3,complete,36817,435.30221846100005,
2026-06-09 01:46:09 UTC,FXI,capacity,CP_FC3,CP_FC,3,complete,36817,414.23030549099997,
2026-06-09 01:53:19 UTC,FXI,capacity,EQWIN_FC3,EQWIN,3,complete,36817,429.28293156899997,
2026-06-09 02:00:17 UTC,FXI,capacity,PREFIX_FC3,PREFIX,3,complete,36817,418.80810226099993,
2026-06-09 02:08:54 UTC,FXI,capacity,PM_FC6,PM_FC,6,complete,36817,516.145130399,
2026-06-09 02:17:27 UTC,FXI,capacity,CP_FC6,CP_FC,6,complete,36817,513.6767126780001,
2026-06-09 02:26:52 UTC,FXI,capacity,EQWIN_FC6,EQWIN,6,complete,36817,564.833917385,
2026-06-09 02:35:58 UTC,FXI,capacity,PREFIX_FC6,PREFIX,6,complete,36817,545.500098774,
2026-06-09 02:46:45 UTC,FXI,capacity,PM_FC9,PM_FC,9,complete,36817,647.5764420040005,
2026-06-09 02:57:15 UTC,FXI,capacity,CP_FC9,CP_FC,9,complete,36817,629.6955268860002,
2026-06-09 03:08:19 UTC,FXI,capacity,EQWIN_FC9,EQWIN,9,complete,36817,663.4688357659998,
2026-06-09 03:19:39 UTC,FXI,capacity,PREFIX_FC9,PREFIX,9,complete,36817,680.206897393,
