time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-08 23:10:57 UTC,GLD,capacity,PM_FC3,PM_FC,3,complete,36739,433.22728706199996,
2026-06-08 23:17:56 UTC,GLD,capacity,CP_FC3,CP_FC,3,complete,36739,419.239072509,
2026-06-08 23:25:08 UTC,GLD,capacity,EQWIN_FC3,EQWIN,3,complete,36739,431.79192600099987,
2026-06-08 23:32:26 UTC,GLD,capacity,PREFIX_FC3,PREFIX,3,complete,36739,437.5191056020001,
2026-06-08 23:42:28 UTC,GLD,capacity,PM_FC6,PM_FC,6,complete,36739,602.4218117619998,
2026-06-08 23:51:57 UTC,GLD,capacity,CP_FC6,CP_FC,6,complete,36739,568.4280577930003,
2026-06-09 00:02:12 UTC,GLD,capacity,EQWIN_FC6,EQWIN,6,complete,36739,615.5359957130004,
2026-06-09 00:12:18 UTC,GLD,capacity,PREFIX_FC6,PREFIX,6,complete,36739,606.2864502260004,
2026-06-09 00:24:34 UTC,GLD,capacity,PM_FC9,PM_FC,9,complete,36739,735.1347867040004,
2026-06-09 00:36:32 UTC,GLD,capacity,CP_FC9,CP_FC,9,complete,36739,718.2792688809996,
2026-06-09 00:49:32 UTC,GLD,capacity,EQWIN_FC9,EQWIN,9,complete,36739,779.881583843,
2026-06-09 01:02:56 UTC,GLD,capacity,PREFIX_FC9,PREFIX,9,complete,36739,803.6285752100002,
