time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-09 00:29:36 UTC,HYG,capacity,PM_FC3,PM_FC,3,complete,36739,404.28738470999997,
2026-06-09 00:36:37 UTC,HYG,capacity,CP_FC3,CP_FC,3,complete,36739,421.2376022620001,
2026-06-09 00:42:55 UTC,HYG,capacity,EQWIN_FC3,EQWIN,3,complete,36739,377.98743354299995,
2026-06-09 00:50:24 UTC,HYG,capacity,PREFIX_FC3,PREFIX,3,complete,36739,448.38786160099994,
2026-06-09 00:58:11 UTC,HYG,capacity,PM_FC6,PM_FC,6,complete,36739,467.0265251999999,
2026-06-09 01:05:20 UTC,HYG,capacity,CP_FC6,CP_FC,6,complete,36739,428.81527443100003,
2026-06-09 01:13:06 UTC,HYG,capacity,EQWIN_FC6,EQWIN,6,complete,36739,466.18032411600007,
2026-06-09 01:21:00 UTC,HYG,capacity,PREFIX_FC6,PREFIX,6,complete,36739,474.3360137049999,
2026-06-09 01:30:14 UTC,HYG,capacity,PM_FC9,PM_FC,9,complete,36739,553.6234470039999,
2026-06-09 01:39:11 UTC,HYG,capacity,CP_FC9,CP_FC,9,complete,36739,537.0812859460002,
2026-06-09 01:49:14 UTC,HYG,capacity,EQWIN_FC9,EQWIN,9,complete,36739,602.4000121489998,
2026-06-09 01:58:59 UTC,HYG,capacity,PREFIX_FC9,PREFIX,9,complete,36739,585.3914765580002,
