time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-08 23:10:45 UTC,QQQ,capacity,PM_FC3,PM_FC,3,complete,36739,422.54222260200004,
2026-06-08 23:17:38 UTC,QQQ,capacity,CP_FC3,CP_FC,3,complete,36739,412.62642571899994,
2026-06-08 23:24:58 UTC,QQQ,capacity,EQWIN_FC3,EQWIN,3,complete,36739,439.88869872,
2026-06-08 23:32:06 UTC,QQQ,capacity,PREFIX_FC3,PREFIX,3,complete,36739,427.89330063499983,
2026-06-08 23:40:44 UTC,QQQ,capacity,PM_FC6,PM_FC,6,complete,36739,518.2562764709999,
2026-06-08 23:49:20 UTC,QQQ,capacity,CP_FC6,CP_FC,6,complete,36739,515.593741786,
2026-06-08 23:58:44 UTC,QQQ,capacity,EQWIN_FC6,EQWIN,6,complete,36739,564.6005974199998,
2026-06-09 00:08:14 UTC,QQQ,capacity,PREFIX_FC6,PREFIX,6,complete,36739,569.2409153799999,
2026-06-09 00:18:51 UTC,QQQ,capacity,PM_FC9,PM_FC,9,complete,36739,637.147565661,
2026-06-09 00:29:13 UTC,QQQ,capacity,CP_FC9,CP_FC,9,complete,36739,622.5083829450004,
2026-06-09 00:40:32 UTC,QQQ,capacity,EQWIN_FC9,EQWIN,9,complete,36739,678.7966607359995,
2026-06-09 00:51:54 UTC,QQQ,capacity,PREFIX_FC9,PREFIX,9,complete,36739,682.0522282869997,
