time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-09 01:01:06 UTC,SPY,capacity,PM_FC3,PM_FC,3,complete,36739,421.35628436400003,
2026-06-09 01:07:37 UTC,SPY,capacity,CP_FC3,CP_FC,3,complete,36739,391.396157233,
2026-06-09 01:14:34 UTC,SPY,capacity,EQWIN_FC3,EQWIN,3,complete,36739,416.880905149,
2026-06-09 01:21:35 UTC,SPY,capacity,PREFIX_FC3,PREFIX,3,complete,36739,420.708048511,
2026-06-09 01:30:18 UTC,SPY,capacity,PM_FC6,PM_FC,6,complete,36739,523.0702226810001,
2026-06-09 01:38:43 UTC,SPY,capacity,CP_FC6,CP_FC,6,complete,36739,504.7199943569999,
2026-06-09 01:47:34 UTC,SPY,capacity,EQWIN_FC6,EQWIN,6,complete,36739,530.5897157599998,
2026-06-09 01:56:26 UTC,SPY,capacity,PREFIX_FC6,PREFIX,6,complete,36739,532.6231377529998,
2026-06-09 02:06:50 UTC,SPY,capacity,PM_FC9,PM_FC,9,complete,36739,624.1887851679999,
2026-06-09 02:17:00 UTC,SPY,capacity,CP_FC9,CP_FC,9,complete,36739,609.7791217269996,
2026-06-09 02:28:29 UTC,SPY,capacity,EQWIN_FC9,EQWIN,9,complete,36739,688.3929788279993,
2026-06-09 02:39:59 UTC,SPY,capacity,PREFIX_FC9,PREFIX,9,complete,36739,690.0629631680004,
