model_name,condition,condition_label_type,loss_variant,loss_metric,n_obs_total,n_assets,pooled_CP_loss,pooled_model_loss,pooled_advantage_CP_minus_model,equal_weight_asset_advantage,assets_positive
CP_REPO_FRESH,all_observations,not_conditioned,high_vol_only,LOG_RV_MSE,73496,10,1.2429973656852933,1.2429973656852933,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,high_vol_only,MAE,73496,10,0.0013977588560373617,0.0013977588560373617,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,high_vol_only,MSE,73496,10,9.91631467282196e-06,9.91631467282196e-06,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,high_vol_only,RMSE,73496,10,0.0031490180489832003,0.0031490180489832003,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,high_vol_only,SMAPE,73496,10,74.02057589487282,74.02057589487282,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,near_zero_excluded,LOG_RV_MSE,363794,10,84.08930450077095,84.08930450077095,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,near_zero_excluded,MAE,363794,10,0.0005874977904224,0.0005874977904224,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,near_zero_excluded,MSE,363794,10,2.215330906486703e-06,2.215330906486703e-06,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,near_zero_excluded,RMSE,363794,10,0.0014883987726703831,0.0014883987726703831,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,near_zero_excluded,SMAPE,363794,10,99.92108203019059,99.92108203019059,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,standard,LOG_RV_MSE,367468,10,86.0153296729766,86.0153296729766,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,standard,MAE,367468,10,0.0005862627334133548,0.0005862627334133548,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,standard,MSE,367468,10,2.195810003812886e-06,2.195810003812886e-06,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,standard,RMSE,367468,10,0.0014818265768344438,0.0014818265768344438,0.0,0.0,0
CP_REPO_FRESH,all_observations,not_conditioned,standard,SMAPE,367468,10,100.87996480320403,100.87996480320403,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,high_vol_only,LOG_RV_MSE,14694,10,1.332130441941895,1.332130441941895,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,high_vol_only,MAE,14694,10,0.001784491149669092,0.001784491149669092,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,high_vol_only,MSE,14694,10,1.032153994459627e-05,1.032153994459627e-05,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,high_vol_only,RMSE,14694,10,0.003212715353808406,0.003212715353808406,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,high_vol_only,SMAPE,14694,10,84.8115403046506,84.8115403046506,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,72721,10,60.55015231484592,60.55015231484592,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,MAE,72721,10,0.0007578798738627712,0.0007578798738627712,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,MSE,72721,10,2.4815741439829076e-06,2.4815741439829076e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,RMSE,72721,10,0.0015753012867330831,0.0015753012867330831,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,SMAPE,72721,10,92.54758699479648,92.54758699479648,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,standard,LOG_RV_MSE,73457,10,62.079879723481234,62.079879723481234,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,standard,MAE,73457,10,0.0007565085520951432,0.0007565085520951432,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,standard,MSE,73457,10,2.4613245520281704e-06,2.4613245520281704e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,standard,RMSE,73457,10,0.0015688609090764452,0.0015688609090764452,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_loose,ex_post_descriptive,standard,SMAPE,73457,10,93.56088921296094,93.56088921296094,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,high_vol_only,LOG_RV_MSE,14657,10,1.3342554638475268,1.3342554638475268,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,high_vol_only,MAE,14657,10,0.001787243329286434,0.001787243329286434,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,high_vol_only,MSE,14657,10,1.034580321321044e-05,1.034580321321044e-05,0.0,0.0,0
CP_REPO_FRESH,cluster_entry_strict,ex_post_descriptive,high_vol_only,RMSE,14657,10,0.003216489268318867,0.003216489268318867,0.0,0.0,0
