model_name,benchmark_model,asset,condition,condition_label_type,loss_variant,loss_metric,n_obs,CP_loss,model_loss,advantage_CP_minus_model
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,standard,SMAPE,36739,87.85136577639884,87.85136577639884,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,standard,MAE,36739,0.0007906026158481771,0.0007906026158481771,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,standard,MSE,36739,3.3655442863056257e-06,3.3655442863056257e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,standard,RMSE,36739,0.001834541982704573,0.001834541982704573,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,standard,LOG_RV_MSE,36739,37.7293827790052,37.7293827790052,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,high_vol_only,SMAPE,7348,74.80444856230038,74.80444856230038,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,high_vol_only,MAE,7348,0.0019171362658486847,0.0019171362658486847,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,high_vol_only,MSE,7348,1.5053861372892984e-05,1.5053861372892984e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,high_vol_only,RMSE,7348,0.0038799305886694654,0.0038799305886694654,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,high_vol_only,LOG_RV_MSE,7348,1.1579357594366935,1.1579357594366935,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,near_zero_excluded,SMAPE,36739,87.85136577639884,87.85136577639884,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,near_zero_excluded,MAE,36739,0.0007906026158481771,0.0007906026158481771,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,near_zero_excluded,MSE,36739,3.3655442863056257e-06,3.3655442863056257e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,near_zero_excluded,RMSE,36739,0.001834541982704573,0.001834541982704573,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,near_zero_excluded,LOG_RV_MSE,36739,37.7293827790052,37.7293827790052,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,standard,SMAPE,7344,84.58273177906862,84.58273177906862,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,standard,MAE,7344,0.0010680890675769832,0.0010680890675769832,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,standard,MSE,7344,4.0336496717032085e-06,4.0336496717032085e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,standard,RMSE,7344,0.002008394799760049,0.002008394799760049,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,standard,LOG_RV_MSE,7344,23.198054742069772,23.198054742069772,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,high_vol_only,SMAPE,1469,84.07660504839683,84.07660504839683,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,high_vol_only,MAE,1469,0.002546537095563215,0.002546537095563215,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,high_vol_only,MSE,1469,1.651372427604497e-05,1.651372427604497e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,high_vol_only,RMSE,1469,0.0040637081927772534,0.0040637081927772534,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,high_vol_only,LOG_RV_MSE,1469,1.1298338461520423,1.1298338461520423,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,SMAPE,7344,84.58273177906862,84.58273177906862,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,cluster_entry_loose,ex_post_descriptive,near_zero_excluded,MAE,7344,0.0010680890675769832,0.0010680890675769832,0.0
