asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,no_duplicate_dates,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,first_failing_timestamp,passes,message
AAPL,HAR_RV,8,8.673617379884035e-18,7.752045533271357e-18,True,True,True,0.0,0.0,3,3,False,1e-08,,True,
AAPL,CP_REPO_FRESH,8,3.5128150388530344e-17,1.2888453325421434e-17,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
AAPL,RAW_PM,8,1.908195823574488e-17,8.782037597132586e-18,True,True,True,0.0,0.0,10,10,False,1e-08,,True,
AAPL,RAW_CP_REPO_PLUS_PM,8,1.474514954580286e-17,6.451002926288751e-18,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
AAPL,CP_REPO_OPS_R,8,9.881418600032887e-16,5.414505649392609e-16,True,True,True,0.0,0.0,22,23,True,1e-06,,True,
AAPL,CP_REPO_RIDGE_OPS_R,8,1.568081602065785e-15,6.929000559083298e-16,True,True,True,0.01,2.0,22,23,True,1e-06,,True,
AAPL,CP_REPO_LRPM,8,2.5008207310550645e-15,1.2533919215018674e-15,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
AAPL,CP_REPO_RECENT_SLOPE,8,1.887379141862766e-15,6.280105558850724e-16,True,True,True,0.0,0.0,18,18,False,1e-08,,True,
AAPL,CP_REPO_HAAR_SHAPE,8,2.961606654361404e-15,1.390787441810093e-15,True,True,True,0.0,0.0,31,31,False,1e-08,,True,
AAPL,CP_REPO_OPS_C,8,3.974251483462865e-15,1.5369107896068268e-15,True,True,True,0.0,0.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_RIDGE_OPS_C,8,7.884535038749085e-15,2.219443162240764e-15,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_GATED_RIDGE_OPS_C,8,2.405627780310837e-15,7.502407983056569e-16,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_OPS_HG,8,2.892651396191326e-15,9.216938193570834e-16,True,True,True,0.01,2.0,44,47,True,1e-06,,True,
AAPL,RANDOM_RESIDUES_PLACEBO_REPO,8,2.6398154495677058e-15,1.1344549431802076e-15,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,8,2.410831950738768e-15,6.699285223787932e-16,True,True,True,0.01,2.0,22,23,True,1e-06,,True,
AAPL,RANDOM_GATE_PLACEBO_REPO,8,1.6946079955948434e-15,7.30745487991652e-16,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AAPL,RIDGE_AR22,8,3.469446951953614e-18,2.5478751053409358e-18,True,True,True,0.0001,2.0,22,22,False,1e-08,,True,
AAPL,CP_REPO_OPS_K,8,1.7555401576885288e-15,5.246318787385795e-16,True,True,True,0.01,2.0,21,21,False,1e-08,,True,
AMZN,HAR_RV,8,2.168404344971009e-17,7.37257477290143e-18,True,True,True,0.0,0.0,3,3,False,1e-08,,True,
AMZN,CP_REPO_FRESH,8,4.033232081646077e-17,1.4677386910022516e-17,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
AMZN,RAW_PM,8,1.7780915628762273e-17,8.971772977317549e-18,True,True,True,0.0,0.0,10,10,False,1e-08,,True,
AMZN,RAW_CP_REPO_PLUS_PM,8,4.8572257327350605e-17,2.0979312037594508e-17,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
AMZN,CP_REPO_OPS_R,8,3.197962727963244e-15,8.152929286547872e-16,True,True,True,0.0,0.0,22,23,True,1e-06,,True,
AMZN,CP_REPO_RIDGE_OPS_R,8,3.0875909468042195e-15,7.818452916336094e-16,True,True,True,0.01,2.0,22,23,True,1e-06,,True,
AMZN,CP_REPO_LRPM,8,3.886864788360533e-15,1.2551808550864685e-15,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
AMZN,CP_REPO_RECENT_SLOPE,8,2.2531889548593757e-15,6.929136084354859e-16,True,True,True,0.0,0.0,18,18,False,1e-08,,True,
AMZN,CP_REPO_HAAR_SHAPE,8,4.772874803715688e-15,1.8179630977693817e-15,True,True,True,0.0,0.0,31,31,False,1e-08,,True,
AMZN,CP_REPO_OPS_C,8,4.286935390007685e-15,1.3561742874534932e-15,True,True,True,0.0,0.0,35,37,True,1e-06,,True,
AMZN,CP_REPO_RIDGE_OPS_C,8,3.710356674679893e-15,1.2685436468623525e-15,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AMZN,CP_REPO_GATED_RIDGE_OPS_C,8,2.810252031082428e-15,6.389203402457079e-16,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AMZN,CP_REPO_OPS_HG,8,1.8110513089197866e-15,6.915041456112547e-16,True,True,True,0.01,5.0,44,47,True,1e-06,,True,
AMZN,RANDOM_RESIDUES_PLACEBO_REPO,8,1.4476267407026457e-15,6.28132528629477e-16,True,True,True,0.01,2.0,22,23,True,1e-06,,True,
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,8,1.3624084499452849e-15,8.842210817705531e-16,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
AMZN,RANDOM_GATE_PLACEBO_REPO,8,1.184382453223165e-15,5.184112687739439e-16,True,True,True,0.0001,2.0,35,37,True,1e-06,,True,
AMZN,RIDGE_AR22,8,5.204170427930421e-18,2.3852447794681098e-18,True,True,True,0.001,2.0,22,22,False,1e-08,,True,
AMZN,CP_REPO_OPS_K,8,1.3949345151198502e-15,4.595933009166053e-16,True,True,True,0.01,2.0,21,21,False,1e-08,,True,
EEM,HAR_RV,8,2.1684043449710093e-18,8.673617379884035e-19,True,True,True,0.0,0.0,3,3,False,1e-08,,True,
EEM,CP_REPO_FRESH,8,2.2822455730819868e-17,1.1160506113022661e-17,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
EEM,RAW_PM,8,3.361026734705064e-18,1.4501204056993624e-18,True,True,True,0.0,0.0,10,10,False,1e-08,,True,
EEM,RAW_CP_REPO_PLUS_PM,8,1.8214596497756478e-17,8.023096076392733e-18,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
EEM,CP_REPO_OPS_R,8,1.533061871894503e-16,6.851480103750585e-17,True,True,True,0.0,0.0,22,23,True,1e-06,,True,
EEM,CP_REPO_RIDGE_OPS_R,8,1.4566256187342752e-16,9.211652707979967e-17,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
EEM,CP_REPO_LRPM,8,5.885049392251318e-16,1.914158935523158e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
EEM,CP_REPO_RECENT_SLOPE,8,1.8458541986565715e-16,9.847266231599594e-17,True,True,True,0.0,0.0,18,18,False,1e-08,,True,
EEM,CP_REPO_HAAR_SHAPE,8,1.5851035761738075e-16,7.220786468753461e-17,True,True,True,0.0,0.0,31,31,False,1e-08,,True,
EEM,CP_REPO_OPS_C,8,4.985161589088349e-16,1.5597603503919588e-16,True,True,True,0.0,0.0,35,37,True,1e-06,,True,
EEM,CP_REPO_RIDGE_OPS_C,8,3.2667011456988254e-16,1.2857282512962476e-16,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
EEM,CP_REPO_GATED_RIDGE_OPS_C,8,1.212138028838794e-16,7.058833769238436e-17,True,True,True,0.0001,2.0,35,37,True,1e-06,,True,
EEM,CP_REPO_OPS_HG,8,1.8106176280507924e-16,8.880971045371887e-17,True,True,True,0.0001,2.0,44,47,True,1e-06,,True,
EEM,RANDOM_RESIDUES_PLACEBO_REPO,8,2.130457268934016e-16,1.21335775628284e-16,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
EEM,SHUFFLED_LAG_PM_PLACEBO_REPO,8,1.4566256187342752e-16,8.410020726698496e-17,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
EEM,RANDOM_GATE_PLACEBO_REPO,8,1.214306433183765e-16,3.241086869373855e-17,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
EEM,RIDGE_AR22,8,1.951563910473908e-18,1.7482760031328763e-18,True,True,True,0.01,2.0,22,22,False,1e-08,,True,
EEM,CP_REPO_OPS_K,8,6.591949208711867e-17,2.099286456475058e-17,True,True,True,0.01,2.0,21,21,False,1e-08,,True,
FXI,HAR_RV,8,7.589415207398531e-18,3.957337929572091e-18,True,True,True,0.0,0.0,3,3,False,1e-08,,True,
FXI,CP_REPO_FRESH,8,6.5052130349130266e-18,3.1441863002079632e-18,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
FXI,RAW_PM,8,1.0408340855860844e-17,3.4965520062657526e-18,True,True,True,0.0,0.0,10,10,False,1e-08,,True,
FXI,RAW_CP_REPO_PLUS_PM,8,5.930585883495709e-17,2.8202809011779184e-17,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
FXI,CP_REPO_OPS_R,8,8.760353553682876e-16,3.923321086410359e-16,True,True,True,0.0,0.0,22,23,True,1e-06,,True,
FXI,CP_REPO_RIDGE_OPS_R,8,7.47665818146004e-16,2.9371036852632315e-16,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
