model_name,condition,n_obs,mean_advantage_vs_CP,standard_error,ci_low_approx,ci_high_approx,p_value_mean_advantage_gt_0,asset_sign_count,number_of_assets_positive,number_of_assets,inference_method,fdr_adjusted_p_value
CP_REPO_FRESH,all_observations,367248,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_entry_loose,73457,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_entry_strict,73266,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_exit_loose,73455,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_exit_strict,73334,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,inflection_points,144886,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,high_within_block_dispersion,68970,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,recent_spike_position,125358,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,older_spike_position,108871,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,same_average_different_path,7396,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,recent_ramp_high_dispersion,24273,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,entry_with_recent_spike,43747,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,entry_without_recent_spike,29710,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,same_average_recent_front_loaded,14331,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,same_average_back_loaded,15559,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,stable_low_dispersion,68968,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
HAR_RV,all_observations,367248,-1.2877565698955769,0.02762316893604978,-1.3418979810102345,-1.2336151587809192,1.0,-8,1,10,normal_approx_row_se,1.0
HAR_RV,cluster_entry_loose,73457,0.6012872845619954,0.06385415659420388,0.4761331376373559,0.726441431486635,2.3302696889125833e-21,8,9,10,normal_approx_row_se,3.521296418801237e-20
HAR_RV,cluster_entry_strict,73266,0.6065254564511564,0.06389419722969641,0.48129282988095146,0.7317580830213614,1.1261362622307897e-21,8,9,10,normal_approx_row_se,1.8018180195692635e-20
HAR_RV,cluster_exit_loose,73455,-1.3306882970697897,0.06620729400997549,-1.4604545933293418,-1.2009220008102377,1.0,-10,0,10,normal_approx_row_se,1.0
HAR_RV,cluster_exit_strict,73334,-1.330403066942138,0.06624988720510536,-1.4602528458641446,-1.2005532880201315,1.0,-10,0,10,normal_approx_row_se,1.0
HAR_RV,inflection_points,144886,-0.540036301059453,0.045490615948256444,-0.6291979083180357,-0.45087469380087036,1.0,-8,1,10,normal_approx_row_se,1.0
HAR_RV,high_within_block_dispersion,68970,-1.0311917148748653,0.07476686301015066,-1.1777347663747606,-0.88464866337497,1.0,-4,3,10,normal_approx_row_se,1.0
HAR_RV,recent_spike_position,125358,-0.4667953341864204,0.044406263967783695,-0.5538316115632764,-0.37975905680956434,1.0,-2,4,10,normal_approx_row_se,1.0
HAR_RV,older_spike_position,108871,-1.7738165992814876,0.051526880055700885,-1.8748092841906614,-1.6728239143723138,1.0,-8,1,10,normal_approx_row_se,1.0
HAR_RV,same_average_different_path,7396,-0.7594169416657809,0.1398933044088525,-1.0336078183071318,-0.48522606502443,0.9999999715921611,-6,2,10,normal_approx_row_se,1.0
HAR_RV,recent_ramp_high_dispersion,24273,2.8482953947730247,0.12133981898177752,2.6104693495687408,3.0861214399773087,3.785916319777293e-122,10,10,10,normal_approx_row_se,1.0297692389794236e-119
HAR_RV,entry_with_recent_spike,43747,1.3588599986465382,0.08254342541146358,1.1970748848400696,1.5206451124530067,3.4187940371436685e-61,8,9,10,normal_approx_row_se,4.6495598905153895e-59
HAR_RV,entry_without_recent_spike,29710,-0.5142136754870282,0.10041254406471382,-0.7110222618538673,-0.31740508912018917,0.9999998480485024,-10,0,10,normal_approx_row_se,1.0
HAR_RV,same_average_recent_front_loaded,14331,0.3172811407227515,0.10441338702612113,0.11263090215155408,0.5219313792939488,0.0011879998070630593,8,9,10,normal_approx_row_se,0.005385599125352536
HAR_RV,same_average_back_loaded,15559,-0.6876452252283419,0.09614072617639222,-0.8760810485340706,-0.4992094019226132,0.9999999999995739,-8,1,10,normal_approx_row_se,1.0
HAR_RV,stable_low_dispersion,68968,-1.1529842032757207,0.06463716463897684,-1.2796730459681154,-1.026295360583326,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_PM,all_observations,367248,-1.0239487396732967,0.028381662081715515,-1.0795767973534591,-0.9683206819931343,1.0,-8,1,10,normal_approx_row_se,1.0
RAW_PM,cluster_entry_loose,73457,-0.4779180266861214,0.07764771146309568,-0.6301075411537889,-0.32572851221845384,0.9999999996245016,-4,3,10,normal_approx_row_se,1.0
RAW_PM,cluster_entry_strict,73266,-0.4781770682780395,0.07775841273376555,-0.63058355723622,-0.3257705793198591,0.999999999611416,-4,3,10,normal_approx_row_se,1.0
RAW_PM,cluster_exit_loose,73455,-2.0953880698013,0.06597813070326292,-2.2247052059796952,-1.9660709336229047,1.0,-6,2,10,normal_approx_row_se,1.0
RAW_PM,cluster_exit_strict,73334,-2.0958418156332663,0.06601705703232193,-2.2252352474166175,-1.9664483838499154,1.0,-6,2,10,normal_approx_row_se,1.0
RAW_PM,inflection_points,144886,-0.8916654323241859,0.046902072106830395,-0.9835934936535735,-0.7997373709947984,1.0,-8,1,10,normal_approx_row_se,1.0
RAW_PM,high_within_block_dispersion,68970,-2.720769229990614,0.08464755652224805,-2.88667844077422,-2.5548600192070077,1.0,-6,2,10,normal_approx_row_se,1.0
RAW_PM,recent_spike_position,125358,-0.3045302412677921,0.050669034165462305,-0.4038415482320982,-0.20521893430348598,0.9999999990734382,-8,1,10,normal_approx_row_se,1.0
RAW_PM,older_spike_position,108871,-1.4463121748028303,0.04987234309884864,-1.5440619672765736,-1.3485623823290869,1.0,-4,3,10,normal_approx_row_se,1.0
