asset,n_existing,n_recomputed,n_aligned,mean_existing_CP,mean_recomputed_CP,mean_abs_diff,median_abs_diff,max_abs_diff,correlation,actual_target_match,passes,message
AAPL,36739,36739,36739,0.0009432205427613,0.0009432205427613,4.507777924802182e-17,4.358492733391728e-17,2.0903417885520523e-16,1.0,True,True,
AMZN,36739,36739,36739,0.0011086769712784,0.0011086769712785,4.9272365805679577e-17,4.6837533851373785e-17,5.182486384480711e-16,0.9999999999999996,True,True,
EEM,36739,36739,36739,0.0004206827488912,0.0004206827488912,5.2313977958382406e-17,5.236696493104986e-17,2.315855840429037e-16,0.9999999999999996,True,True,
FXI,36817,36817,36817,0.0007912164776302,0.0007912164776303,4.6370665209813076e-17,4.510281037539698e-17,1.7607443281164592e-16,1.0,True,True,
GLD,36739,36739,36739,0.0005370920923679,0.000537092092368,5.562807513196179e-17,5.4752209710517974e-17,2.7224316551111016e-16,1.0,True,True,
GOOGL,36739,36739,36739,0.0010460487096998,0.0010460487096999,5.0584043553523585e-17,4.9439619065338996e-17,2.491496592371689e-16,0.9999999999999998,True,True,
HYG,36739,36739,36739,0.0001611193869774,0.0001611193869775,3.374008499088021e-17,2.4286128663675302e-17,1.3856103764364747e-16,1.0,True,True,
QQQ,36739,36739,36739,0.0006628017636431,0.0006628017636432,5.3196046752328016e-17,5.258380536554697e-17,3.3393426912553537e-16,1.0,True,True,
SPY,36739,36739,36739,0.0004870500805578,0.0004870500805578,5.0496848636880226e-17,5.003593026020603e-17,2.0469737016526324e-16,1.0,True,True,
TLT,36739,36739,36739,0.000580369522026,0.000580369522026,4.419061442890663e-17,4.304282624767453e-17,1.5352302762394743e-16,1.0,True,True,
