model_name,loss_metric,assets_positive,assets_zero,assets_negative,n_assets
CAST_D_CALIBRATION_ONLY,MAE,10,0,0,10
CAST_D_CALIBRATION_ONLY,MSE,2,0,8,10
CAST_D_CALIBRATION_ONLY,RMSE,2,0,8,10
CAST_D_CALIBRATION_ONLY,SMAPE,8,0,2,10
CONTIGUOUS_CAST_D,MAE,10,0,0,10
CONTIGUOUS_CAST_D,MSE,1,0,9,10
CONTIGUOUS_CAST_D,RMSE,1,0,9,10
CONTIGUOUS_CAST_D,SMAPE,7,0,3,10
CP_REPO_FRESH,MAE,0,10,0,10
CP_REPO_FRESH,MSE,0,10,0,10
CP_REPO_FRESH,RMSE,0,10,0,10
CP_REPO_FRESH,SMAPE,0,10,0,10
PM_CAST_D,MAE,10,0,0,10
PM_CAST_D,MSE,2,0,8,10
PM_CAST_D,RMSE,2,0,8,10
PM_CAST_D,SMAPE,7,0,3,10
SPECTRAL_RANDOM_CAST_D,MAE,10,0,0,10
SPECTRAL_RANDOM_CAST_D,MSE,2,0,8,10
SPECTRAL_RANDOM_CAST_D,RMSE,2,0,8,10
SPECTRAL_RANDOM_CAST_D,SMAPE,8,0,2,10
