asset,model_name,check,value,threshold,passed
AAPL,PM_CAST_D,finite_predictions,1.0,1.0,True
AAPL,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
AAPL,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
AAPL,PM_CAST_D,fast_scalar_equivalence,4.40619762898109e-16,1e-12,True
AAPL,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
AAPL,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
AAPL,SPECTRAL_RANDOM_CAST_D,weight_sum,7.771561172376097e-16,1e-12,True
AAPL,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,4.232725281383409e-16,1e-12,True
AAPL,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
AAPL,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
AAPL,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
AAPL,CONTIGUOUS_CAST_D,fast_scalar_equivalence,3.3350058825654116e-16,1e-12,True
AAPL,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
AAPL,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
AAPL,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
AAPL,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
AAPL,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
AAPL,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
AAPL,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
AAPL,PM_CAST_D,timestamp_unique,0.0,0.0,True
AAPL,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
AAPL,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
AAPL,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
AMZN,PM_CAST_D,finite_predictions,1.0,1.0,True
AMZN,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
AMZN,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
AMZN,PM_CAST_D,fast_scalar_equivalence,4.440892098500626e-16,1e-12,True
AMZN,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
AMZN,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
AMZN,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
AMZN,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,6.38378239159465e-16,1e-12,True
AMZN,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
AMZN,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
AMZN,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
AMZN,CONTIGUOUS_CAST_D,fast_scalar_equivalence,4.49293380277993e-16,1e-12,True
AMZN,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
AMZN,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
AMZN,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
AMZN,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
AMZN,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
AMZN,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
AMZN,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
AMZN,PM_CAST_D,timestamp_unique,0.0,0.0,True
AMZN,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
AMZN,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
AMZN,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
EEM,PM_CAST_D,finite_predictions,1.0,1.0,True
EEM,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
EEM,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
EEM,PM_CAST_D,fast_scalar_equivalence,2.220446049250313e-16,1e-12,True
EEM,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
EEM,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
EEM,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
EEM,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,4.996003610813204e-16,1e-12,True
EEM,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
EEM,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
EEM,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
EEM,CONTIGUOUS_CAST_D,fast_scalar_equivalence,2.203098814490545e-16,1e-12,True
EEM,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
EEM,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
EEM,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
EEM,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
EEM,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
EEM,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
EEM,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
EEM,PM_CAST_D,timestamp_unique,0.0,0.0,True
EEM,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
EEM,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
EEM,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
FXI,PM_CAST_D,finite_predictions,1.0,1.0,True
