asset,n_obs,nominal_coverage,empirical_coverage,mean_interval_width,median_interval_width,median_absolute_error
AAPL,36739,0.9,0.9354364571708539,0.002546487721425496,0.0022184882723453,0.0007263021843698574
AMZN,36739,0.9,0.9517950951305153,0.00344989516607942,0.0030745615899967,0.0008441806061593412
EEM,36739,0.9,0.9653773918723971,0.0018385135393898576,0.0017087455444006,0.0004253723477322154
FXI,36817,0.9,0.9650161610125757,0.0028479621049028406,0.0026038313350354,0.0006342292116511362
GLD,36739,0.9,0.9725632162007676,0.0023762516615366902,0.0022437099450393,0.0004489909585312485
GOOGL,36739,0.9,0.9567761779035902,0.003600761154750483,0.0032931557949789,0.0008279678374820381
HYG,36739,0.9,0.9470045455782683,0.00047776818583913504,0.0003680027749088,0.0001476368923085362
QQQ,36739,0.9,0.8838836114211056,0.001769939139740279,0.001536964153937963,0.0004815542404053639
SPY,36739,0.9,0.8674705353983505,0.0014758383476429148,0.0012327836897529354,0.000357798679293001
TLT,36739,0.9,0.9805928305070906,0.0024560949902380043,0.0023415652673944,0.000435842485982167
POOLED,367468,0.9,0.9425963621322129,0.0022840709200157255,0.0020773411801291997,0.0005330090342900564
