asset,n,warmup,seed,n_oos,first_oos_origin,tuning_last_origin,all_audits_pass,config_sha256,script_sha256,created_utc
AAPL,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:50:02.524510+00:00
AMZN,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:50:05.247364+00:00
EEM,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:49:59.343369+00:00
FXI,22,600,42,36817,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:50:00.452678+00:00
GLD,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:50:07.354971+00:00
GOOGL,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:49:58.598457+00:00
HYG,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:49:55.504770+00:00
QQQ,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:49:50.641977+00:00
SPY,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:50:05.576204+00:00
TLT,22,600,42,36739,622,621,True,a803687f7a92abd973f48e048374ff5f48dd4f41f1ed57d4035a7e98a91c6433,440d9e0aaa99897222c2e02733823f39fcedd13f0368dce0ba151305cf45038e,2026-07-10T04:50:07.616619+00:00
