asset,model_name,n_prediction_rows,first_prediction_timestamp,last_prediction_timestamp,n_rows_overlapping_CP,n_rows_used_in_CP_comparison,timestamps_exactly_match_CP,actual_target_values_match_CP
AAPL,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AAPL,PHQO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
AMZN,PHQO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
EEM,PHQO,34700,2023-08-17 16:00:00,2025-07-07 16:00:00,34700,34700,False,True
FXI,CP_REPO_FRESH,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,PM_QDK,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,PM_QDK_2,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
FXI,PHQO,36817,2023-08-17 16:00:00,2025-07-08 16:00:00,36817,36817,True,True
GLD,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GLD,PHQO,36541,2023-08-17 16:00:00,2025-07-07 16:00:00,36541,36541,False,True
GOOGL,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
GOOGL,PHQO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
HYG,PHQO,27911,2023-08-17 16:00:00,2025-07-07 16:00:00,27911,27911,False,True
QQQ,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
QQQ,PHQO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
SPY,PHQO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,CP_REPO_FRESH,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,PM_QDK,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,PM_QDK_2,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
TLT,PHQO,36739,2023-08-17 16:00:00,2025-07-07 16:00:00,36739,36739,True,True
