asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,no_duplicate_dates,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,first_failing_timestamp,passes,message
AAPL,CP_REPO_FRESH,8,1.1071872585421973e-15,5.742883382384156e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
AAPL,RAW_CP_REPO_PLUS_PM,8,7.723856276786734e-15,2.188678925596488e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
AAPL,CP_REPO_RIDGE_OPS_R,8,1.1659510162909117e-15,5.163241795919093e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
AAPL,CP_REPO_LRPM,8,1.480803327180702e-15,8.954967843644024e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
AAPL,CP_REPO_RIDGE_OPS_C,8,2.5656560209696977e-15,1.1770505360317318e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_GATED_RIDGE_OPS_C,8,2.2369259222720927e-15,1.4294799068406694e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_OPS_HG,8,2.6367796834847468e-15,1.3666232858908225e-15,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
AAPL,RANDOM_GATE_PLACEBO_REPO,8,2.456802122852153e-15,1.4008027593784278e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
AAPL,RIDGE_AR22,8,2.3852447794681098e-18,1.1655173354219173e-18,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
AAPL,CP_REPO_OPS_K,8,8.623744079949702e-16,5.260142365084985e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
AAPL,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
AAPL,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
AAPL,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
AMZN,CP_REPO_FRESH,8,3.146354704552934e-15,1.4255225689110973e-15,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
AMZN,RAW_CP_REPO_PLUS_PM,8,8.556523545255601e-15,4.177539390803897e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
AMZN,CP_REPO_RIDGE_OPS_R,8,3.354955202539145e-15,7.039995756491503e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
AMZN,CP_REPO_LRPM,8,5.2022188640199466e-15,2.3970083730395775e-15,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
AMZN,CP_REPO_RIDGE_OPS_C,8,3.3497510321112145e-15,1.477415195391685e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
AMZN,CP_REPO_GATED_RIDGE_OPS_C,8,3.903127820947816e-15,1.2586231969841102e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
AMZN,CP_REPO_OPS_HG,8,3.1866870253693946e-15,9.90174739076699e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
AMZN,RANDOM_GATE_PLACEBO_REPO,8,4.347217030797879e-15,1.5023111877773833e-15,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
AMZN,RIDGE_AR22,8,1.6479873021779667e-17,5.421010862427522e-18,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
AMZN,CP_REPO_OPS_K,8,3.693226280354622e-15,1.235773636198978e-15,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
AMZN,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
AMZN,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
AMZN,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
EEM,CP_REPO_FRESH,8,4.699474316638419e-16,3.6349233085292143e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
EEM,RAW_CP_REPO_PLUS_PM,8,9.107298248878237e-16,4.949111866853206e-16,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
EEM,CP_REPO_RIDGE_OPS_R,8,4.981908982570893e-16,3.7369738380144124e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
EEM,CP_REPO_LRPM,8,5.386316392907986e-16,4.1836651330784397e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
EEM,CP_REPO_RIDGE_OPS_C,8,5.835176092316985e-16,4.584752174262298e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
EEM,CP_REPO_GATED_RIDGE_OPS_C,8,5.447031714567174e-16,4.3157345102143303e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
EEM,CP_REPO_OPS_HG,8,7.368237964211488e-16,4.655293078109636e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
EEM,RANDOM_GATE_PLACEBO_REPO,8,9.802271841441446e-16,4.0166979985156726e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
EEM,RIDGE_AR22,8,3.2526065174565133e-19,1.2197274440461925e-19,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
EEM,CP_REPO_OPS_K,8,4.914688447876793e-16,3.988712029938391e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
EEM,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
EEM,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
EEM,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
FXI,CP_REPO_FRESH,8,6.830473686658678e-16,5.090871300905686e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
FXI,RAW_CP_REPO_PLUS_PM,8,3.882311139236094e-15,1.985472333418392e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
FXI,CP_REPO_RIDGE_OPS_R,8,8.094653419776776e-16,5.382386160032726e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
FXI,CP_REPO_LRPM,8,1.0364972768961422e-15,7.202761607635888e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
FXI,CP_REPO_RIDGE_OPS_C,8,8.027432885082675e-16,4.9247173179722835e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
FXI,CP_REPO_GATED_RIDGE_OPS_C,8,1.0284741808197497e-15,8.001547558214583e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
