model_name,condition,n_obs,mean_advantage_vs_CP,standard_error,ci_low_approx,ci_high_approx,p_value_mean_advantage_gt_0,asset_sign_count,number_of_assets_positive,number_of_assets,inference_method,fdr_adjusted_p_value
CP_REPO_FRESH,all_observations,367248,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_entry_loose,73457,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_entry_strict,73266,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_exit_loose,73455,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,cluster_exit_strict,73334,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,inflection_points,144886,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,high_within_block_dispersion,68970,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,recent_spike_position,125358,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,older_spike_position,108871,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,same_average_different_path,7396,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,recent_ramp_high_dispersion,24273,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,entry_with_recent_spike,43747,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,entry_without_recent_spike,29710,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,same_average_recent_front_loaded,14331,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,same_average_back_loaded,15559,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
CP_REPO_FRESH,stable_low_dispersion,68968,0.0,0.0,0.0,0.0,,0,0,10,normal_approx_row_se,
PM_QDK,all_observations,367248,-1.734495100320009,0.03938619101323194,-1.8116920347059438,-1.6572981659340744,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,cluster_entry_loose,73457,-1.7152835240449698,0.10976234588446007,-1.9304177219785115,-1.500149326111428,1.0,-4,3,10,normal_approx_row_se,1.0
PM_QDK,cluster_entry_strict,73266,-1.7203390141550339,0.10999593100545974,-1.935931038925735,-1.5047469893843328,1.0,-4,3,10,normal_approx_row_se,1.0
PM_QDK,cluster_exit_loose,73455,-3.600897663443411,0.10052924017456459,-3.7979349741855577,-3.4038603527012645,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,cluster_exit_strict,73334,-3.6050428222108715,0.10064179308539656,-3.802300736658249,-3.407784907763494,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,inflection_points,144886,-2.2970310542476926,0.06988639493322388,-2.4340083883168115,-2.1600537201785737,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,high_within_block_dispersion,68970,-2.296965331797259,0.11886216276289475,-2.529935170812533,-2.0639954927819852,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,recent_spike_position,125358,-0.7967757797831192,0.06596302923951858,-0.9260633170925756,-0.6674882424736628,1.0,-4,3,10,normal_approx_row_se,1.0
PM_QDK,older_spike_position,108871,-2.216907508101241,0.07174480452021502,-2.3575273249608624,-2.0762876912416197,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,same_average_different_path,7396,-2.6871925861989565,0.23703474017288673,-3.1517806769378147,-2.2226044954600983,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,recent_ramp_high_dispersion,24273,0.4817853439751253,0.23796303758972284,0.015377790299268501,0.9481928976509821,0.02145306587282281,4,7,10,normal_approx_row_se,0.1029747161895495
PM_QDK,entry_with_recent_spike,43747,-0.9924778955492928,0.14602029549929676,-1.2786776747279145,-0.7062781163706711,0.9999999999946534,-4,3,10,normal_approx_row_se,1.0
PM_QDK,entry_without_recent_spike,29710,-2.779591091523946,0.1653988528071199,-3.1037728430259013,-2.455409340021991,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,same_average_recent_front_loaded,14331,-1.8754250015479152,0.1734751549830483,-2.21543630531469,-1.5354136977811406,1.0,-8,1,10,normal_approx_row_se,1.0
PM_QDK,same_average_back_loaded,15559,-2.1043292149718074,0.14961402067799556,-2.3975726955006786,-1.811085734442936,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK,stable_low_dispersion,68968,-1.3810291954030633,0.08411534501373111,-1.5458952716299763,-1.2161631191761504,1.0,-10,0,10,normal_approx_row_se,1.0
PM_QDK_2,all_observations,367248,1.480757060526379,0.04426988623482676,1.3939880835061185,1.5675260375466393,1.3574834933843019e-245,8,9,10,normal_approx_row_se,6.515920768244649e-244
PM_QDK_2,cluster_entry_loose,73457,-0.1002155811265648,0.12511064066670632,-0.3454324368333092,0.14500127458017958,0.7884387070249601,0,5,10,normal_approx_row_se,1.0
PM_QDK_2,cluster_entry_strict,73266,-0.11525623149028108,0.12534691908555937,-0.3609361928979774,0.13042372991741527,0.8210824036969357,0,5,10,normal_approx_row_se,1.0
PM_QDK_2,cluster_exit_loose,73455,0.009758436753003901,0.0949122258796598,-0.17626952597112933,0.1957863994771371,0.4590547484774649,0,5,10,normal_approx_row_se,1.0
PM_QDK_2,cluster_exit_strict,73334,0.003853707977086888,0.09503008784718359,-0.18240526420339293,0.19011268015756672,0.48382632481929405,-2,4,10,normal_approx_row_se,1.0
PM_QDK_2,inflection_points,144886,0.5197458580568737,0.07518933078032715,0.37237476972743244,0.6671169463863149,2.381017307493455e-12,2,6,10,normal_approx_row_se,1.428610384496073e-11
PM_QDK_2,high_within_block_dispersion,68970,2.711981726687323,0.1148125309811498,2.4869491659642695,2.9370142874103764,1.1738998346397816e-123,10,10,10,normal_approx_row_se,2.8173596031354756e-122
PM_QDK_2,recent_spike_position,125358,1.6245822014225608,0.08299261814644703,1.4619166698555246,1.787247732989597,1.2626761660568415e-85,10,10,10,normal_approx_row_se,1.5152113992682098e-84
PM_QDK_2,older_spike_position,108871,1.558414046840299,0.07480632594131933,1.411793647995313,1.7050344456852848,1.0949990798098208e-96,6,8,10,normal_approx_row_se,1.7519985276957133e-95
