feature_name,feature_family,source_model,n_lags,zero_block_sum_pass,max_abs_block_sum,global_weight_sum,global_level_sum_pass,block_sums_json,weights_json,asset,run_type,seed,prime_mode,laplacian_eigenvalue,diffusion_tau,model_role,component,pm_low_modes
PMCTR_k2_r0,OPS_R,CP_REPO_OPS_R,22,False,0.0454545454545454,0.0,True,"{""B1"": -0.045454545454545456, ""B2"": 0.045454545454545456, ""B3"": 0.0, ""B4"": 0.0}","[-0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456]",AAPL,full,42,,,,,,
PMCTR_k2_r1,OPS_R,CP_REPO_OPS_R,22,False,0.0454545454545454,0.0,True,"{""B1"": 0.045454545454545456, ""B2"": -0.045454545454545456, ""B3"": 0.0, ""B4"": 0.0}","[0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456, 0.045454545454545456, -0.045454545454545456]",AAPL,full,42,,,,,,
PMCTR_k3_r0,OPS_R,CP_REPO_OPS_R,22,False,0.0833333333333333,4.163336342344337e-17,True,"{""B1"": 0.005952380952380959, ""B2"": -0.08333333333333331, ""B3"": 0.011904761904761911, ""B4"": 0.0654761904761905}","[-0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664, -0.047619047619047616, 0.09523809523809523, -0.041666666666666664]",AAPL,full,42,,,,,,
PMCTR_k3_r1,OPS_R,CP_REPO_OPS_R,22,False,0.0238095238095238,1.1102230246251563e-16,True,"{""B1"": -0.01190476190476189, ""B2"": 0.023809523809523836, ""B3"": -0.02380952380952378, ""B4"": 0.011904761904761946}","[0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334, -0.047619047619047616, -0.047619047619047616, 0.08333333333333334]",AAPL,full,42,,,,,,
PMCTR_k3_r2,OPS_R,CP_REPO_OPS_R,22,False,0.0773809523809523,4.8572257327350605e-17,True,"{""B1"": 0.005952380952380952, ""B2"": 0.05952380952380952, ""B3"": 0.011904761904761918, ""B4"": -0.07738095238095236}","[-0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664, 0.09523809523809523, -0.047619047619047616, -0.041666666666666664]",AAPL,full,42,,,,,,
PMCTR_k5_r0,OPS_R,CP_REPO_OPS_R,22,False,0.14,5.551115123125783e-17,True,"{""B1"": -0.13, ""B2"": 0.020000000000000004, ""B3"": -0.03, ""B4"": 0.14}","[-0.04, -0.04, -0.05, -0.05, 0.2, -0.04, -0.04, -0.05, -0.05, 0.2, -0.04, -0.04, -0.05, -0.05, 0.2, -0.04, -0.04, -0.05, -0.05, 0.2, -0.04, -0.04]",AAPL,full,42,,,,,,
PMCTR_k5_r1,OPS_R,CP_REPO_OPS_R,22,False,0.08,-6.938893903907228e-18,True,"{""B1"": 0.06999999999999999, ""B2"": -0.030000000000000006, ""B3"": -0.08000000000000002, ""B4"": 0.039999999999999994}","[0.16, -0.04, -0.05, -0.05, -0.05, 0.16, -0.04, -0.05, -0.05, -0.05, 0.16, -0.04, -0.05, -0.05, -0.05, 0.16, -0.04, -0.05, -0.05, -0.05, 0.16, -0.04]",AAPL,full,42,,,,,,
PMCTR_k5_r2,OPS_R,CP_REPO_OPS_R,22,False,0.08,2.775557561562892e-17,True,"{""B1"": 0.06999999999999999, ""B2"": -0.030000000000000013, ""B3"": -0.08000000000000002, ""B4"": 0.039999999999999994}","[-0.04, 0.16, -0.05, -0.05, -0.05, -0.04, 0.16, -0.05, -0.05, -0.05, -0.04, 0.16, -0.05, -0.05, -0.05, -0.04, 0.16, -0.05, -0.05, -0.05, -0.04, 0.16]",AAPL,full,42,,,,,,
PMCTR_k5_r3,OPS_R,CP_REPO_OPS_R,22,False,0.12,5.551115123125783e-17,True,"{""B1"": 0.12000000000000001, ""B2"": 0.01999999999999999, ""B3"": -0.030000000000000013, ""B4"": -0.10999999999999999}","[-0.04, -0.04, 0.2, -0.05, -0.05, -0.04, -0.04, 0.2, -0.05, -0.05, -0.04, -0.04, 0.2, -0.05, -0.05, -0.04, -0.04, 0.2, -0.05, -0.05, -0.04, -0.04]",AAPL,full,42,,,,,,
PMCTR_k5_r4,OPS_R,CP_REPO_OPS_R,22,False,0.22,2.775557561562892e-17,True,"{""B1"": -0.13, ""B2"": 0.020000000000000004, ""B3"": 0.22000000000000003, ""B4"": -0.10999999999999997}","[-0.04, -0.04, -0.05, 0.2, -0.05, -0.04, -0.04, -0.05, 0.2, -0.05, -0.04, -0.04, -0.05, 0.2, -0.05, -0.04, -0.04, -0.05, 0.2, -0.05, -0.04, -0.04]",AAPL,full,42,,,,,,
