asset,n_existing,n_recomputed,n_aligned,mean_existing_CP,mean_recomputed_CP,mean_abs_diff,median_abs_diff,max_abs_diff,correlation,actual_target_match,passes,message
AAPL,36739,36739,36739,0.0009432205427613,0.000943220542764,7.551871425604261e-13,1.2424772582314558e-13,2.5197785774155185e-10,0.9999999999999992,True,True,
AMZN,36739,36739,36739,0.0011086769712784,0.0011086769712983,3.83626771447351e-13,8.502877221761018e-14,9.398576231514631e-11,1.0,True,True,
EEM,36739,36739,36739,0.0004206827488912,0.0004206827489167,4.917243447855597e-13,1.4996597713645698e-13,3.777876113070927e-11,1.0,True,True,
FXI,36817,36817,36817,0.0007912164776302,0.0007912164776451,3.079920145048756e-13,8.073630739652282e-14,1.0262141403847864e-10,0.9999999999999992,True,True,
GLD,36739,36739,36739,0.0005370920923679,0.0005370920922989,2.3555711795977906e-12,1.1823728844964634e-13,1.1138286216743826e-09,0.9999999999999972,True,True,
GOOGL,36739,36739,36739,0.0010460487096998,0.0010460487096665,3.463303805228145e-13,6.870979479822736e-14,1.1063681568113104e-10,0.9999999999999992,True,True,
HYG,36739,36739,36739,0.0001611193869774,0.0001611193869422,2.0210644348979204e-12,2.977895436750283e-13,4.2868143426298336e-10,0.9999999999999976,True,True,
QQQ,36739,36739,36739,0.0006628017636431,0.0006628017636888,1.074577597821939e-12,3.223985748507241e-13,2.3001022787794143e-10,1.0,True,True,
SPY,36739,36739,36739,0.0004870500805578,0.0004870500806367,1.650989091230434e-12,5.004134042904673e-13,2.5937412829503403e-10,1.0,True,True,
TLT,36739,36739,36739,0.000580369522026,0.0005803695220023,3.961807787742447e-13,1.5333817115353865e-13,6.895316912933214e-11,1.0,True,True,
