asset,model_name,n_obs,SMAPE,MAE,MSE,RMSE,mean_effective_neighbors,mean_no_q_effective_neighbors,mean_quotient_distance_share
AAPL,CP_REPO_FRESH,100,81.6804989268624,0.000587924616960532,6.06785600101614e-07,0.0007789644408454175,843.996409310483,873.3260984539061,0.1362765040207804
AAPL,FULL_SMAPE_ACTION,100,76.85804433559102,0.0004982679576452959,5.430819034884429e-07,0.000736940909088675,843.996409310483,873.3260984539061,0.1362765040207804
AAPL,FULL_MEAN_ACTION,100,82.97355718583731,0.0006055290441698302,6.780993024370433e-07,0.0008234678514896883,843.996409310483,873.3260984539061,0.1362765040207804
AAPL,FULL_MEDIAN_ACTION,100,74.67544630143396,0.00047488006425286595,5.554969076672144e-07,0.0007453166492620532,843.996409310483,873.3260984539061,0.1362765040207804
AAPL,NO_Q_SMAPE_ACTION,100,76.28028717146931,0.0004935433077349972,5.417457975852949e-07,0.0007360338291038632,843.996409310483,873.3260984539061,0.1362765040207804
AMZN,CP_REPO_FRESH,100,83.86080022619514,0.0007405621982195407,1.2110819068093975e-06,0.0011004916659427264,852.8388100673068,873.6430413077973,0.10467395208188099
AMZN,FULL_SMAPE_ACTION,100,80.43252444651326,0.0006135061307902603,9.933279990121624e-07,0.0009966584164156557,852.8388100673068,873.6430413077973,0.10467395208188099
AMZN,FULL_MEAN_ACTION,100,84.00890244440498,0.0007025869598104335,9.80278321217796e-07,0.0009900900571250051,852.8388100673068,873.6430413077973,0.10467395208188099
AMZN,FULL_MEDIAN_ACTION,100,82.10408562322735,0.0005779625336709343,9.119143458727814e-07,0.0009549420641446168,852.8388100673068,873.6430413077973,0.10467395208188099
AMZN,NO_Q_SMAPE_ACTION,100,80.5055254471329,0.0006126818975249575,9.959758024319031e-07,0.0009979858728618872,852.8388100673068,873.6430413077973,0.10467395208188099
EEM,CP_REPO_FRESH,100,153.78875915100053,0.0005053624581856795,1.3162751875480922e-06,0.0011472903675827197,1269.2842535154937,1281.434874504029,0.1259260489054805
EEM,FULL_SMAPE_ACTION,100,151.8753690685704,0.0005675211583491446,1.2270657935430535e-06,0.0011077300183451983,1269.2842535154937,1281.434874504029,0.1259260489054805
