asset,n_obs,zero_actual_share,negative_cp_prediction_share,SMAPE_advantage,MAE_advantage,MSE_advantage,RMSE_advantage
AAPL,36739,0.0872914341707722,0.00040828547320286343,1.2070474445556312,2.8384324281379972e-05,-7.295407833816159e-07,-0.00018908967095610419
AMZN,36739,0.10392226244590218,0.0006532567571245815,1.1811764507103084,3.647409743927282e-05,-6.640478039494125e-07,-0.00015831671935817712
EEM,36739,0.518631427093824,0.0002177522523748605,1.0275588484694762,-7.862059191100562e-05,-2.823313365553547e-07,-0.00010963679743074468
FXI,36817,0.2526550234945813,0.0010321318955917103,3.712587902548345,6.652694466522786e-05,-4.955184983739373e-07,-0.00011922657773815511
GLD,36739,0.2512316611774953,0.000435504504749721,-0.0806827617471184,-1.8793944883935286e-05,-5.243380351514661e-08,-2.6105933464539398e-05
GOOGL,36739,0.1467377990691091,0.0013881706088897357,0.7992775339942669,2.912565716614715e-05,-3.2950018446522635e-07,-8.095169020761036e-05
HYG,36739,0.653556166471597,0.0011704183565148752,0.4525362134222408,-0.0002850096333768639,-4.0429839091165084e-07,-0.0003061629210213137
QQQ,36739,0.024606004518359238,0.0008165709464057269,3.2012571932569633,3.815810404448601e-05,-2.1650762911163307e-07,-7.911361208061732e-05
SPY,36739,0.044965840115408696,0.0010071041672337299,2.566947851032496,1.7601404522009663e-05,-3.465056198323604e-07,-0.00015154976032505222
TLT,36739,0.12656849669288767,0.0002177522523748605,0.7130763317414384,1.5904290205460458e-05,-3.4470279096765265e-08,-1.908175510560554e-05
