model_name,ambient_dimension,raw_rank,raw_effective_rank,standardized_rank,standardized_effective_rank,nonzero_scale_count
PM_QDK_2,120,13,9.889937327779005,13,10.845292214185873,115
PM_QDK_2_RANDOM_RESIDUE_PLACEBO,120,13,8.299399851494769,13,9.035974691454465,115
PM_QDK_2_SHUFFLED_LAG_PLACEBO,120,13,10.02091973588827,13,10.82982189582829,115
PM_QDK_2_HAAR_SHAPE_PLACEBO,120,18,14.213158330979658,18,14.460161139351323,120
PM_QDK_2_COMPOSITE_4_6_10_PLACEBO,120,12,8.887040846958339,12,8.91058249392988,120
PM_QDK_2_FAKE_TORUS_PLACEBO,120,13,9.676553469455172,13,10.561699935954545,115
PM_QDK_2_CONTIGUOUS_DIFFUSION_PLACEBO,120,21,17.416813508216542,21,19.156351265706203,115
PM_QDK_2_MOD2_ABLATION,120,1,1.0,1,1.0,5
PM_QDK_2_MOD3_ABLATION,120,2,1.9942299216302404,2,1.9967981698055282,20
PM_QDK_2_MOD5_ABLATION,120,4,3.5738073717651813,4,3.9497170344642885,40
PM_QDK_2_MOD2_3_ABLATION,120,5,4.421407536360639,5,4.682315858486555,45
PM_QDK_2_MOD2_5_ABLATION,120,9,7.08637890880218,9,8.465665520694973,85
PM_QDK_2_MOD3_5_ABLATION,120,14,9.80792892202828,14,11.742976234451467,120
