asset,model_name,max_abs_prediction,count_abs_prediction_gt_0_1
AAPL,CP_REPO_OPS_R,10.0,21
AAPL,CP_REPO_LRPM,12952010752.0,96
AAPL,CP_REPO_OPS_C,0.1072689068288027,2
AMZN,CP_REPO_OPS_R,10.3115234375,46
AMZN,CP_REPO_LRPM,10320084992.0,175
AMZN,CP_REPO_OPS_C,0.5240575431744094,1
EEM,CP_REPO_OPS_R,5.0455322265625,28
EEM,CP_REPO_LRPM,49566767420.56859,68
EEM,CP_REPO_OPS_C,0.0196572748666304,0
FXI,CP_REPO_OPS_R,12.75,72
FXI,CP_REPO_LRPM,335007449088.0,136
FXI,CP_REPO_OPS_C,0.1658984575245585,1
GLD,CP_REPO_OPS_R,1.88623046875,14
GLD,CP_REPO_LRPM,252928.0,96
GLD,CP_REPO_OPS_C,0.0430932092996079,0
GOOGL,CP_REPO_OPS_R,0.861328125,19
GOOGL,CP_REPO_LRPM,105.60546875,174
GOOGL,CP_REPO_OPS_C,0.0389039593544042,0
HYG,CP_REPO_OPS_R,0.3359375,5
HYG,CP_REPO_LRPM,4.203125,39
HYG,CP_REPO_OPS_C,0.0148056780822155,0
QQQ,CP_REPO_OPS_R,372.0,122
QQQ,CP_REPO_LRPM,8028160.0,121
QQQ,CP_REPO_OPS_C,2.7752800492015908,3
SPY,CP_REPO_OPS_R,24.0,49
SPY,CP_REPO_LRPM,6474663198720.0,73
SPY,CP_REPO_OPS_C,0.1329381890108895,2
TLT,CP_REPO_OPS_R,11.6875,114
TLT,CP_REPO_LRPM,1027604480.0,51
TLT,CP_REPO_OPS_C,1.251078121362257,2
