asset,n_existing,n_recomputed,n_aligned,mean_existing_CP,mean_recomputed_CP,mean_abs_diff,median_abs_diff,max_abs_diff,correlation,actual_target_match,passes,message
AAPL,36739,36739,36739,0.0009432205427613,0.000943220542764,7.551871425604261e-13,1.2424772582314558e-13,2.5197785774155185e-10,0.9999999999999992,True,True,
AMZN,36739,36739,36739,0.0011086769712784,0.0011086769712983,3.83626771447351e-13,8.502877221761018e-14,9.398576231514631e-11,1.0,True,True,
EEM,36739,36739,36739,0.0004206827488912,0.0004206827489167,4.917243447855597e-13,1.4996597713645698e-13,3.777876113070927e-11,1.0,True,True,
FXI,36817,36817,36817,0.0007912164776302,0.0007912164776451,3.079917509581559e-13,8.073272952935363e-14,1.0262151898924891e-10,0.9999999999999996,True,True,
GLD,36739,36739,36739,0.0005370920923679,0.0005370920922989,2.3555711795977906e-12,1.1823728844964634e-13,1.1138286216743826e-09,0.9999999999999972,True,True,
GOOGL,36739,36739,36739,0.0010460487096998,0.0010460487096666,3.463142897602994e-13,6.870263906388897e-14,1.1063703078684206e-10,0.9999999999999998,True,True,
HYG,36739,36739,36739,0.0001611193869774,0.0001611193869422,2.0210644348979204e-12,2.977895436750283e-13,4.2868143426298336e-10,0.9999999999999976,True,True,
QQQ,36739,36739,36739,0.0006628017636431,0.0006628017636888,1.0745805488329909e-12,3.2240757372875573e-13,2.3001003792572083e-10,1.0,True,True,
SPY,36739,36739,36739,0.0004870500805578,0.0004870500806367,1.6509951274806197e-12,5.004419730177123e-13,2.593738771938109e-10,0.9999999999999992,True,True,
TLT,36739,36739,36739,0.000580369522026,0.0005803695220023,3.961821822406318e-13,1.533420742813596e-13,6.895320273959947e-11,1.0,True,True,
