asset,model_name,model_family,selected_lambda_shape,selected_lambda_r_ratio,intercept_unpenalized_by_code,cp_rv_penalized_count,extra_feature_count,extra_penalized_count,ridge_penalized_count,cp_unpenalized_pass,all_extra_penalized_when_ridge_model,hg_lambda_c_unique,hg_lambda_r_unique
AAPL,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
AAPL,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
AAPL,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
AAPL,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
AAPL,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
AAPL,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
AAPL,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
AAPL,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
AAPL,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
AAPL,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
AAPL,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
AAPL,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
AAPL,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,2.0,True,0,34,34,34,True,True,[0.01],[0.02]
AAPL,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
AAPL,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
AAPL,RIDGE_AR22,ridge_ar,0.0001,2.0,True,0,22,22,22,True,True,[],[]
AAPL,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
AMZN,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
AMZN,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
AMZN,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
AMZN,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
AMZN,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
AMZN,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
AMZN,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
AMZN,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
AMZN,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
AMZN,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
AMZN,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
AMZN,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
AMZN,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,5.0,True,0,34,34,34,True,True,[0.01],[0.05]
AMZN,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
