asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,passes,message
AAPL,HAR_RV,500,4.145989107584569e-16,1.4407940986116418e-16,True,True,0.0,0.0,3,3,False,1e-08,True,
AAPL,CP_REPO_FRESH,500,2.4470443032997835e-15,1.9495537996461198e-16,True,True,0.0,0.0,13,13,False,1e-08,True,
AAPL,RAW_PM,500,9.896597430447684e-16,1.0395525586182064e-16,True,True,0.0,0.0,10,10,False,1e-08,True,
AAPL,RAW_CP_REPO_PLUS_PM,500,7.997508905122075e-15,9.178077135102435e-16,True,True,0.0,0.0,23,23,False,1e-08,True,
AAPL,CP_REPO_OPS_R,500,3.0396692107803602e-15,2.2175468926410869e-16,True,True,0.0,0.0,22,23,True,1e-06,True,
AAPL,CP_REPO_RIDGE_OPS_R,500,2.993915879101472e-15,2.2188538983600182e-16,True,True,0.01,2.0,22,23,True,1e-06,True,
AAPL,CP_REPO_LRPM,500,5.67737046611172e-15,4.0965812014327753e-16,True,True,0.0,0.0,33,38,True,1e-06,True,
AAPL,CP_REPO_RECENT_SLOPE,500,3.3319701164824522e-15,2.715737790898176e-16,True,True,0.0,0.0,18,18,False,1e-08,True,
AAPL,CP_REPO_HAAR_SHAPE,500,4.370418957289068e-15,5.789961609117821e-16,True,True,0.0,0.0,31,31,False,1e-08,True,
AAPL,CP_REPO_OPS_C,500,5.716781215081568e-15,6.096787571324702e-16,True,True,0.0,0.0,35,37,True,1e-06,True,
AAPL,CP_REPO_RIDGE_OPS_C,500,4.516352569705617e-15,5.987858863257256e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
AAPL,CP_REPO_GATED_RIDGE_OPS_C,500,3.8356904458192176e-15,3.565000942021279e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
AAPL,CP_REPO_OPS_HG,500,4.490765398434959e-15,3.8265473688986475e-16,True,True,0.01,2.0,44,47,True,1e-06,True,
AAPL,RANDOM_RESIDUES_PLACEBO_REPO,500,3.552117367605634e-15,3.125285403735023e-16,True,True,0.0001,2.0,22,23,True,1e-06,True,
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,500,2.9819896552041314e-15,2.501486973290057e-16,True,True,0.01,2.0,22,23,True,1e-06,True,
AAPL,RANDOM_GATE_PLACEBO_REPO,500,4.209740195326717e-15,3.351011959237815e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
AAPL,RIDGE_AR22,500,1.3660947373317356e-17,1.8143039154372433e-18,True,True,0.0001,2.0,22,22,False,1e-08,True,
AAPL,CP_REPO_OPS_K,500,2.6122767143865744e-15,2.106387980704838e-16,True,True,0.01,2.0,21,21,False,1e-08,True,
SPY,HAR_RV,500,1.1460016963171782e-16,2.3940593431304168e-17,True,True,0.0,0.0,3,3,False,1e-08,True,
SPY,CP_REPO_FRESH,500,9.179397693348523e-16,7.432735796199935e-17,True,True,0.0,0.0,13,13,False,1e-08,True,
SPY,RAW_PM,500,3.9772872495458245e-15,4.039942208891589e-16,True,True,0.0,0.0,10,10,False,1e-08,True,
SPY,RAW_CP_REPO_PLUS_PM,500,3.8121415746328324e-14,2.4489353687290326e-15,True,True,0.0,0.0,23,23,False,1e-08,True,
SPY,CP_REPO_OPS_R,500,1.3053794156725473e-15,8.951872446441577e-17,True,True,0.0,0.0,22,23,True,1e-06,True,
SPY,CP_REPO_RIDGE_OPS_R,500,1.3645768542902559e-15,8.688910051526943e-17,True,True,0.0001,2.0,22,23,True,1e-06,True,
SPY,CP_REPO_LRPM,500,1.8858612588212864e-15,1.0316376117085191e-16,True,True,0.0,0.0,33,38,True,1e-06,True,
SPY,CP_REPO_RECENT_SLOPE,500,1.0847442735717472e-15,8.308482482739799e-17,True,True,0.0,0.0,18,18,False,1e-08,True,
SPY,CP_REPO_HAAR_SHAPE,500,1.2150653747045048e-15,8.087397396737417e-17,True,True,0.0,0.0,31,31,False,1e-08,True,
SPY,CP_REPO_OPS_C,500,1.792186191118539e-15,1.1471298086776494e-16,True,True,0.0,0.0,35,37,True,1e-06,True,
SPY,CP_REPO_RIDGE_OPS_C,500,1.2264494975156026e-15,1.07938668853641e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
SPY,CP_REPO_GATED_RIDGE_OPS_C,500,2.31043482956661e-15,1.27988955154687e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
SPY,CP_REPO_OPS_HG,500,1.835337437583462e-15,1.3237837475504887e-16,True,True,0.01,2.0,44,47,True,1e-06,True,
SPY,RANDOM_RESIDUES_PLACEBO_REPO,500,4.019679554490008e-15,1.3776217037790584e-16,True,True,0.01,2.0,22,23,True,1e-06,True,
SPY,SHUFFLED_LAG_PM_PLACEBO_REPO,500,1.3493980238754588e-15,9.450968653512692e-17,True,True,0.01,2.0,22,23,True,1e-06,True,
SPY,RANDOM_GATE_PLACEBO_REPO,500,2.1957262397176436e-15,1.2653129954388885e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
SPY,RIDGE_AR22,500,3.903127820947816e-18,4.644722106927901e-19,True,True,0.001,2.0,22,22,False,1e-08,True,
SPY,CP_REPO_OPS_K,500,1.3823577699190182e-15,8.881036097502237e-17,True,True,0.01,2.0,21,21,False,1e-08,True,
GLD,HAR_RV,500,1.109138822452671e-16,2.5494851455670765e-17,True,True,0.0,0.0,3,3,False,1e-08,True,
GLD,CP_REPO_FRESH,500,7.924433678696552e-16,8.9132233494979e-17,True,True,0.0,0.0,13,13,False,1e-08,True,
GLD,RAW_PM,500,8.131516293641283e-18,1.1307144456851326e-18,True,True,0.0,0.0,8,10,True,1e-06,True,
GLD,RAW_CP_REPO_PLUS_PM,500,8.860100153551542e-16,1.244137171757531e-16,True,True,0.0,0.0,21,23,True,1e-06,True,
GLD,CP_REPO_OPS_R,500,1.3803194698347454e-14,5.579786578526618e-16,True,True,0.0,0.0,22,23,True,1e-06,True,
GLD,CP_REPO_RIDGE_OPS_R,500,8.322335875998732e-15,5.239492379457283e-16,True,True,0.01,2.0,22,23,True,1e-06,True,
GLD,CP_REPO_LRPM,500,3.795574965437254e-15,3.2647980998355695e-16,True,True,0.0,0.0,33,38,True,1e-06,True,
GLD,CP_REPO_RECENT_SLOPE,500,1.3513495877859327e-15,1.196427939359479e-16,True,True,0.0,0.0,18,18,False,1e-08,True,
GLD,CP_REPO_HAAR_SHAPE,500,2.613794597428054e-15,2.5305765241536577e-16,True,True,0.0,0.0,31,31,False,1e-08,True,
GLD,CP_REPO_OPS_C,500,4.452059380877227e-15,3.465703472902565e-16,True,True,0.0,0.0,35,37,True,1e-06,True,
GLD,CP_REPO_RIDGE_OPS_C,500,5.480858822348722e-15,3.4266510527507234e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
GLD,CP_REPO_GATED_RIDGE_OPS_C,500,2.29547283958631e-15,2.216444259031669e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
GLD,CP_REPO_OPS_HG,500,3.065256382051018e-15,2.0446957928882402e-16,True,True,0.01,20.0,44,47,True,1e-06,True,
GLD,RANDOM_RESIDUES_PLACEBO_REPO,500,2.235408039230613e-15,1.1827198291916586e-16,True,True,0.01,2.0,22,23,True,1e-06,True,
GLD,SHUFFLED_LAG_PM_PLACEBO_REPO,500,1.517449360610712e-15,1.3232153545615632e-16,True,True,0.01,2.0,22,23,True,1e-06,True,
GLD,RANDOM_GATE_PLACEBO_REPO,500,1.5672142403277967e-15,1.8752185947708972e-16,True,True,0.01,2.0,35,37,True,1e-06,True,
GLD,RIDGE_AR22,500,1.8431436932253575e-18,2.3819921729506533e-19,True,True,0.001,2.0,22,22,False,1e-08,True,
GLD,CP_REPO_OPS_K,500,1.8805486681761074e-15,1.5424234155528292e-16,True,True,0.01,2.0,21,21,False,1e-08,True,
