challenger_model,strategy,gate_type,condition,condition_label_type,n_assets,n_obs_total,n_active_total,equal_weight_asset_coverage,equal_weight_asset_CP_mean_SMAPE,equal_weight_asset_overlay_mean_SMAPE,equal_weight_asset_mean_advantage_vs_CP,equal_weight_asset_median_advantage_vs_CP,equal_weight_asset_win_rate_vs_CP,equal_weight_asset_mean_abs_error_advantage_vs_CP,equal_weight_asset_mean_sq_error_advantage_vs_CP,equal_weight_asset_false_positive_loss_mean,equal_weight_asset_false_negative_cost_mean,assets_positive
CP_REPO_OPS_HG,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.86490239663642,7.973062052825542e-05,0.0,0.0210150961117914,2.9273535116420865e-07,1.0464419838339787e-09,8.043083559200575,7.8655229789328445,6
CP_REPO_GATED_RIDGE_OPS_C,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.86550332001472,-0.0005211927577524,0.0,0.0212137531743787,1.616185771786266e-07,9.46061425480364e-10,5.962122156808418,5.602024793724937,6
CP_REPO_OPS_HG,top_10pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,36728,0.1000032663309964,100.86498212725697,100.86804013057356,-0.003058003316573,0.0,0.0418284654034277,5.518811608143143e-07,1.7494658507512166e-09,8.071893030688784,7.861325390436491,6
RANDOM_GATE_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.87199781034522,-0.0070156830882369,0.0,0.020655239734348,3.866457323658319e-08,1.1233121268291512e-10,4.668149861967321,4.403931694431525,2
CP_REPO_GATED_RIDGE_OPS_C,top_10pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,36728,0.1000032663309964,100.86498212725697,100.87361104425828,-0.0086289170013148,0.0,0.0422121568271724,1.7159786584246782e-07,1.2365976790767523e-09,6.057560638937462,5.598656756784799,3
RAW_CP_REPO_PLUS_PM,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.87603611071674,-0.0110539834597643,0.0,0.0202876923474977,3.8894412262790685e-08,2.807208260826055e-10,6.103886761576389,5.790250450026667,1
CP_REPO_RECENT_SLOPE,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.87691578192286,-0.0119336546659086,0.0,0.0206830046949898,6.205434109482965e-09,3.3311507715765055e-10,5.675529536714707,5.220992926231803,2
SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.87702942807658,-0.0120473008196222,0.0,0.0207124712443733,6.343434997209169e-08,5.734913407178552e-10,5.008230159369918,4.58476038652995,4
RANDOM_GATE_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,36728,0.1000032663309964,100.86498212725697,100.87799100494888,-0.0130088776919246,0.0,0.0412941795644671,1.1102054557073733e-07,3.9668418001704036e-10,4.702320695276484,4.398614940828177,0
CP_REPO_HAAR_SHAPE,top_5pct_random_gate,shuffled_perturbation_magnitude,all_observations,ex_post_randomized_score_quantile,10,367268,18364,0.0500016331654982,100.86498212725697,100.87880370446793,-0.0138215772109576,0.0,0.0206990332745992,9.602410790595653e-08,1.3354805741801976e-09,7.09246419487196,6.434270897581117,1
