asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AAPL,RAW_CP_REPO_PLUS_PM,top_5pct,perturbation_magnitude,0.05,0.0002057910459904,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002057910459904,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_10pct,perturbation_magnitude,0.1,0.0001457014438915,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001457014438915,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_20pct,perturbation_magnitude,0.2,9.42359161005401e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,9.42359161005401e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_30pct,perturbation_magnitude,0.3,6.745043119727994e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,6.745043119727994e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0001102125635561,-0.1392975853590664,0.25,False,False
AAPL,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AAPL,CP_REPO_OPS_HG,top_5pct,perturbation_magnitude,0.05,0.000334585001738,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.000334585001738,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_10pct,perturbation_magnitude,0.1,0.0002259894533304,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002259894533304,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_20pct,perturbation_magnitude,0.2,0.0001396027611117,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001396027611117,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_30pct,perturbation_magnitude,0.3,9.625033250953998e-05,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,9.625033250953998e-05,,0.0,False,True
AAPL,CP_REPO_OPS_HG,validation_selected,prefix_validation_perturbation_magnitude,0.3,9.526110874058004e-05,0.1124514048307373,0.25,False,False
AAPL,CP_REPO_OPS_HG,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,CP_REPO_OPS_HG,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_5pct,perturbation_magnitude,0.05,0.0002722033940863,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002722033940863,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_10pct,perturbation_magnitude,0.1,0.0001850459486487,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001850459486487,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_20pct,perturbation_magnitude,0.2,0.000112510698567,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.000112510698567,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_30pct,perturbation_magnitude,0.3,7.672376189449998e-05,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,7.672376189449998e-05,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,validation_selected,prefix_validation_perturbation_magnitude,0.2,0.0001037487856822,0.0498663146252893,0.25,False,False
AAPL,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AAPL,CP_REPO_RECENT_SLOPE,top_5pct,perturbation_magnitude,0.05,0.0001077349295401,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0001077349295401,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_10pct,perturbation_magnitude,0.1,8.028717855156002e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,8.028717855156002e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_20pct,perturbation_magnitude,0.2,5.914674189515992e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,5.914674189515992e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_30pct,perturbation_magnitude,0.3,4.727942150996001e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,4.727942150996001e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,validation_selected,prefix_validation_perturbation_magnitude,0.3,5.099263767823997e-05,-0.0602349715835481,0.25,False,False
AAPL,CP_REPO_RECENT_SLOPE,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,CP_REPO_RECENT_SLOPE,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AAPL,CP_REPO_HAAR_SHAPE,top_5pct,perturbation_magnitude,0.05,0.000295532064687,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.000295532064687,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_10pct,perturbation_magnitude,0.1,0.0002054879468676,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002054879468676,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_20pct,perturbation_magnitude,0.2,0.0001300848411632,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001300848411632,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_30pct,perturbation_magnitude,0.3,9.192309046304003e-05,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,9.192309046304003e-05,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,validation_selected,prefix_validation_perturbation_magnitude,0.3,7.720923746774001e-05,-0.1043239324095714,0.25,False,False
AAPL,CP_REPO_HAAR_SHAPE,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,CP_REPO_HAAR_SHAPE,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0001796492508012,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0001796492508012,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.0001281229324776,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001281229324776,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,8.378353227177991e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,8.378353227177991e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,6.051656448748004e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,6.051656448748004e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.3,6.488848143412e-05,-0.0619532505595022,0.25,False,False
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AAPL,RANDOM_GATE_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0002241333061348,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002241333061348,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.0001438480893164,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001438480893164,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,8.300250043641995e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,8.300250043641995e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,5.458959979766e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,5.458959979766e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.3,4.928562785364004e-05,-0.1603726154916792,0.25,False,False
AAPL,RANDOM_GATE_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AAPL,RANDOM_GATE_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.1212178980909066,,,0.0,False,False
AMZN,RAW_CP_REPO_PLUS_PM,top_5pct,perturbation_magnitude,0.05,0.0003171624137508,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0003171624137508,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_10pct,perturbation_magnitude,0.1,0.0002274588438864,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002274588438864,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_20pct,perturbation_magnitude,0.2,0.0001538743421415,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001538743421415,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct,perturbation_magnitude,0.3,0.000114141581763,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.000114141581763,,0.0,False,True
