asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AAPL,RAW_CP_REPO_PLUS_PM,top_5pct,perturbation_magnitude,0.05,0.00020579104599045985,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00020579104599045985,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_10pct,perturbation_magnitude,0.1,0.00014570144389155988,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00014570144389155988,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_20pct,perturbation_magnitude,0.2,9.42359161005401e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,9.42359161005401e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_30pct,perturbation_magnitude,0.3,6.745043119727994e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,6.745043119727994e-05,,0.0,False,True
AAPL,RAW_CP_REPO_PLUS_PM,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.00011021256355618012,-0.13929758535906644,0.25,False,False
AAPL,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AAPL,CP_REPO_OPS_HG,top_5pct,perturbation_magnitude,0.05,0.0003345850017380699,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0003345850017380699,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_10pct,perturbation_magnitude,0.1,0.00022598945333044012,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00022598945333044012,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_20pct,perturbation_magnitude,0.2,0.00013960276111176,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00013960276111176,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_30pct,perturbation_magnitude,0.3,9.625033250953998e-05,,0.0,False,True
AAPL,CP_REPO_OPS_HG,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,9.625033250953998e-05,,0.0,False,True
AAPL,CP_REPO_OPS_HG,validation_selected,prefix_validation_perturbation_magnitude,0.3,9.526110874058003e-05,0.11245140483073733,0.25,False,False
AAPL,CP_REPO_OPS_HG,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,CP_REPO_OPS_HG,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_5pct,perturbation_magnitude,0.05,0.00027220339408635,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00027220339408635,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_10pct,perturbation_magnitude,0.1,0.00018504594864872023,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00018504594864872023,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_20pct,perturbation_magnitude,0.2,0.00011251069856707996,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00011251069856707996,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_30pct,perturbation_magnitude,0.3,7.672376189449998e-05,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,7.672376189449998e-05,,0.0,False,True
AAPL,CP_REPO_GATED_RIDGE_OPS_C,validation_selected,prefix_validation_perturbation_magnitude,0.2,0.00010374878568226009,0.0498663146252893,0.25,False,False
AAPL,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AAPL,CP_REPO_RECENT_SLOPE,top_5pct,perturbation_magnitude,0.05,0.00010773492954011995,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00010773492954011995,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_10pct,perturbation_magnitude,0.1,8.028717855156002e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,8.028717855156002e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_20pct,perturbation_magnitude,0.2,5.9146741895159916e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,5.9146741895159916e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_30pct,perturbation_magnitude,0.3,4.727942150996001e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,4.727942150996001e-05,,0.0,False,True
AAPL,CP_REPO_RECENT_SLOPE,validation_selected,prefix_validation_perturbation_magnitude,0.3,5.0992637678239974e-05,-0.060234971583548166,0.25,False,False
AAPL,CP_REPO_RECENT_SLOPE,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,CP_REPO_RECENT_SLOPE,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AAPL,CP_REPO_HAAR_SHAPE,top_5pct,perturbation_magnitude,0.05,0.00029553206468705984,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00029553206468705984,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_10pct,perturbation_magnitude,0.1,0.0002054879468676601,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002054879468676601,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_20pct,perturbation_magnitude,0.2,0.0001300848411632999,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001300848411632999,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_30pct,perturbation_magnitude,0.3,9.192309046304003e-05,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,9.192309046304003e-05,,0.0,False,True
AAPL,CP_REPO_HAAR_SHAPE,validation_selected,prefix_validation_perturbation_magnitude,0.3,7.720923746774001e-05,-0.10432393240957144,0.25,False,False
AAPL,CP_REPO_HAAR_SHAPE,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,CP_REPO_HAAR_SHAPE,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0001796492508012499,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0001796492508012499,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.00012812293247768008,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00012812293247768008,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,8.378353227177991e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,8.378353227177991e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,6.051656448748004e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,6.051656448748004e-05,,0.0,False,True
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.3,6.488848143412e-05,-0.061953250559502245,0.25,False,False
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AAPL,RANDOM_GATE_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.00022413330613488996,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00022413330613488996,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.00014384808931646,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00014384808931646,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,8.300250043641995e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,8.300250043641995e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,5.4589599797659994e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,5.4589599797659994e-05,,0.0,False,True
AAPL,RANDOM_GATE_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.3,4.9285627853640036e-05,-0.1603726154916792,0.25,False,False
AAPL,RANDOM_GATE_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AAPL,RANDOM_GATE_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.12121789809090662,,,0.0,False,False
AMZN,RAW_CP_REPO_PLUS_PM,top_5pct,perturbation_magnitude,0.05,0.00031716241375086995,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00031716241375086995,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_10pct,perturbation_magnitude,0.1,0.00022745884388642,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00022745884388642,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_20pct,perturbation_magnitude,0.2,0.00015387434214153998,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00015387434214153998,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct,perturbation_magnitude,0.3,0.00011414158176307989,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.00011414158176307989,,0.0,False,True
AMZN,RAW_CP_REPO_PLUS_PM,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.00031011864276759996,-0.3417128099959626,0.25,False,False
AMZN,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,CP_REPO_OPS_HG,top_5pct,perturbation_magnitude,0.05,0.00036846199112795997,,0.0,False,True
