asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,no_duplicate_dates,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,first_failing_timestamp,passes,message
AAPL,HAR_RV,8,1.1275702593849246e-17,8.72782748850831e-18,True,True,True,0.0,0.0,3,3,False,1e-08,,True,
AAPL,CP_REPO_FRESH,8,2.3635607360183997e-17,8.795590124288655e-18,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
AAPL,RAW_PM,8,1.734723475976807e-17,7.83336069620777e-18,True,True,True,0.0,0.0,10,10,False,1e-08,,True,
AAPL,RAW_CP_REPO_PLUS_PM,8,1.214306433183765e-17,6.0173220572945496e-18,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
AAPL,CP_REPO_OPS_R,8,1.0473392986209973e-15,5.222195289047993e-16,True,True,True,0.0,0.0,22,23,True,1e-06,,True,
AAPL,CP_REPO_RIDGE_OPS_R,8,1.6837659738699884e-15,6.876010177903069e-16,True,True,True,0.01,2.0,22,23,True,1e-06,,True,
AAPL,CP_REPO_LRPM,8,3.079784691162324e-15,1.0277423443533218e-15,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
AAPL,CP_REPO_RECENT_SLOPE,8,1.0714085868501755e-15,4.787972318967548e-16,True,True,True,0.0,0.0,18,18,False,1e-08,,True,
AAPL,CP_REPO_HAAR_SHAPE,8,5.611830444784971e-15,2.354792250948423e-15,True,True,True,0.0,0.0,31,31,False,1e-08,,True,
AAPL,CP_REPO_OPS_C,8,4.728639355078279e-15,1.976188852316485e-15,True,True,True,0.0,0.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_RIDGE_OPS_C,8,6.78992452540772e-15,2.1624276804951825e-15,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_GATED_RIDGE_OPS_C,8,3.944544343936762e-15,1.3122640994678303e-15,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AAPL,CP_REPO_OPS_HG,8,2.605337820482667e-15,8.370718397945898e-16,True,True,True,0.01,2.0,44,47,True,1e-06,,True,
AAPL,RANDOM_RESIDUES_PLACEBO_REPO,8,1.155217414783305e-15,5.376829623898738e-16,True,True,True,0.0001,2.0,22,23,True,1e-06,,True,
AAPL,SHUFFLED_LAG_PM_PLACEBO_REPO,8,2.08231869247566e-15,6.77572147694816e-16,True,True,True,0.01,2.0,22,23,True,1e-06,,True,
AAPL,RANDOM_GATE_PLACEBO_REPO,8,1.941155569618047e-15,8.347408051237459e-16,True,True,True,0.01,2.0,35,37,True,1e-06,,True,
AAPL,RIDGE_AR22,8,3.469446951953614e-18,2.4530074152484538e-18,True,True,True,0.0001,2.0,22,22,False,1e-08,,True,
AAPL,CP_REPO_OPS_K,8,2.7354420811809277e-15,5.799668471168085e-16,True,True,True,0.01,2.0,21,21,False,1e-08,,True,
