model_name,benchmark_model,asset,condition,condition_label_type,n_obs,model_mean_SMAPE,CP_mean_SMAPE,mean_advantage_vs_CP,median_advantage_vs_CP,win_rate_vs_CP,winsorized_mean_advantage_1_99,trimmed_mean_advantage_10pct,mean_gain_when_model_wins,mean_loss_when_model_loses,median_abs_advantage_vs_CP,mean_abs_error_model,mean_abs_error_CP,mean_abs_error_advantage_vs_CP,run_type,model_status,source,benchmark_source,source_path,seed,phase,is_paper_eligible,alignment_exact,actual_match,n_rows_overlapping_CP,n_rows_used_in_CP_comparison
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,93.16079560653729,93.16079560653729,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0008666700073346369,0.0008666700073346369,0.0,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
HAR_RV,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,87.82230302461782,93.16079560653729,5.33849258191947,-0.7544761578059109,0.45,5.320953096051501,4.972327672922484,23.336983844387717,-10.326300296110002,8.51799124299721,0.0008160736889553366,0.0008666700073346369,5.059631837929996e-05,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
RAW_PM,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,98.36422737324203,93.16079560653729,-5.2034317667047585,-10.514433829247352,0.35,-5.38670450472925,-8.463823424790808,29.759027053713833,-26.031818725841003,16.8045945423954,0.0009965266608822417,0.0008666700073346369,-0.000129856653547605,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
RAW_CP_REPO_PLUS_PM,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,99.71755118074552,93.16079560653729,-6.556755574208216,0.6049787292313908,0.5,-6.290814993696977,-0.8427551417365917,9.86175557636805,-25.528074138649426,8.379176760351804,0.0008753224613531769,0.0008666700073346369,-8.652454018540001e-06,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_OPS_R,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,105.36375049216403,93.16079560653729,-12.202954885626752,-6.357127629696677,0.35,-11.654745634299212,-7.399591163367586,12.267857955117508,-25.379546415258275,14.179456763088334,0.0009422186602930946,0.0008666700073346369,-7.554865295845777e-05,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_RIDGE_OPS_R,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,105.36881763820251,93.16079560653729,-12.208022031665237,-6.322361858157365,0.3,-11.657366182816848,-7.396670505881115,14.284990685285523,-23.56217033892985,14.120631107688494,0.0009420367494982849,0.0008666700073346369,-7.53667421636481e-05,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_LRPM,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,109.37273303945722,93.16079560653729,-16.21193743291993,-9.360150644243936,0.25,-15.561557719925508,-9.864338271455969,13.24734028067068,-27.891103575839427,11.260526354013347,0.0009647291094740439,0.0008666700073346369,-9.805910213940702e-05,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_RECENT_SLOPE,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,96.16971405737438,93.16079560653729,-3.0089184508371076,-2.5818421975662815,0.3,-3.107385742082277,-3.291882547960192,7.633740234399368,-8.152370032549104,6.017433150543448,0.0009304302990900918,0.0008666700073346369,-6.376029175545505e-05,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_HAAR_SHAPE,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,112.15423803502617,93.16079560653729,-18.993442428488915,-7.154490168202855,0.25,-18.356979683461457,-12.493434495435817,17.419289507573666,-33.354664007689045,15.333997277664814,0.0009631080555478965,0.0008666700073346369,-9.643804821325967e-05,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_OPS_C,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,107.47670600969256,93.16079560653729,-14.315910403155296,-6.9971478231492465,0.2,-13.673751859640248,-8.446956074190734,27.629955063787243,-26.455868554550328,16.841141869172382,0.0009823434540340921,0.0008666700073346369,-0.00011567344669945502,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_RIDGE_OPS_C,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,107.47149958772677,93.16079560653729,-14.310703981189487,-6.954019672750496,0.25,-13.66833267193589,-8.43848755719472,22.079961663705113,-28.32956342445109,16.807507683351602,0.0009822311247890767,0.0008666700073346369,-0.00011556111745443997,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_FRESH,AAPL,all_observations,not_conditioned,20,107.06891930338925,93.16079560653729,-13.908123696851973,-7.836611277714692,0.35,-13.271567132183296,-8.873214063635858,19.64382275220701,-34.639102766874046,16.315843048446,0.0010061639622015368,0.0008666700073346369,-0.0001394939548669,smoke,complete,generated_current,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,42,all,False,True,True,20,20
