time_utc,asset,model_name,status,source,source_path,run_type,phase,seed,n_obs,feature_count,design_rank,rank_deficient,seconds,scaffolded,model_family,selected_lambda_shape,selected_lambda_r_ratio,cv_mode_effective,cv_score,selected_pm_tau,selected_pm_eta,selected_pm_bandwidth,selected_phqo_gamma,target_transform,raw_rows,feature_rows,elapsed_feature_seconds,cp_feature_count,pm_feature_count,shape_feature_count,cp_compatibility,diagnostic_lag_zones_json,paper_eligible,python_version,platform,project_root,prior_incremental_dir,command,outdir,git_commit,git_branch,git_dirty,script_sha256,model_registry_sha256,package_versions_json,lambda_grid,lambda_r_ratio_grid,pm_tau_grid,pm_eta_grid,pm_bandwidth_grid,phqo_gamma_grid,pm_low_modes,pm_kernel_train_window,cv_mode
2026-07-09T23:24:00.299586Z,AAPL,CP_REPO_FRESH,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,13,13,False,3.3762000000006083,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:00.397812Z,AAPL,HAR_RV,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,3,3,False,0.096791499999199,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:00.592295Z,AAPL,RAW_PM,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,10,10,False,0.19534629999998288,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:01.037819Z,AAPL,RAW_CP_REPO_PLUS_PM,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,23,23,False,0.44481460000042716,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:01.434964Z,AAPL,CP_REPO_OPS_R,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,23,22,True,0.3973649999998088,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:01.928772Z,AAPL,CP_REPO_RIDGE_OPS_R,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,23,22,True,0.4928753999993205,False,ridge_shape,0.01,2.0,inner,83.1254201637096,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:02.497910Z,AAPL,CP_REPO_LRPM,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,38,33,True,0.5699313000004622,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",False,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:02.812942Z,AAPL,CP_REPO_RECENT_SLOPE,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,18,18,False,0.3144075000000157,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:03.228161Z,AAPL,CP_REPO_HAAR_SHAPE,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,31,31,False,0.4191432999996323,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
2026-07-09T23:24:03.841788Z,AAPL,CP_REPO_OPS_C,complete,generated_current,C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709\predictions\smoke\AAPL.csv,smoke,all,42,20,37,35,True,0.6105963999998494,False,linear,0.0,0.0,none,,,,,,level,37362,37362,3.0857403999998496,13,10,110,repo contig_prime_modulo benchmark with RV+CP features; four-block lag zones are diagnostic/local shape scaffolds only,"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14], [15, 16, 17, 18, 19, 20, 21, 22]]",True,3.11.0,Windows-10-10.0.26200-SP0,C:\Users\HP\money-making\projects\harv-extension,C:\Users\HP\money-making\projects\harv-extension\outputs\cp_pm_incremental_tests,"outputs/cp_repo_ops_hg_tests/scripts/run_cp_repo_ops_hg_tests.py --mode smoke --assets AAPL --models HAR_RV,CP_REPO_FRESH,RAW_PM,RAW_CP_REPO_PLUS_PM,CP_REPO_OPS_R,CP_REPO_RIDGE_OPS_R,CP_REPO_LRPM,CP_REPO_RECENT_SLOPE,CP_REPO_HAAR_SHAPE,CP_REPO_OPS_C,CP_REPO_RIDGE_OPS_C,CP_REPO_GATED_RIDGE_OPS_C,CP_REPO_OPS_HG,RANDOM_RESIDUES_PLACEBO_REPO,SHUFFLED_LAG_PM_PLACEBO_REPO,RANDOM_GATE_PLACEBO_REPO,RIDGE_AR22,CP_REPO_OPS_K --n 22 --warmup 600 --seed 42 --force --outdir outputs/prop4_math_audit_smoke_20260709 --smoke-max-forecasts 20 --audit-no-lookahead --audit-repo-cp-reproduction --audit-fast-slow-equivalence --cv-mode inner --lambda-grid 0.0001,0.001,0.01 --lambda-r-ratio-grid 2,5,10,20",C:\Users\HP\money-making\projects\harv-extension\outputs\prop4_math_audit_smoke_20260709,82437dbafd6f3aae0fb3294bcd7400de71981945,cp-pm-incremental-actions,True,50b358185de4a43758b4ce59f0c19f7502b67a809054c092f72139a284556e3b,9a3d0081335e2887aad4f7df0a1ef80539aa9a9410797c714a9bc326c9c564e4,"{""matplotlib"": ""3.10.1"", ""numpy"": ""2.1.3"", ""pandas"": ""2.2.3"", ""scikit-learn"": ""1.6.1""}","0.0001,0.001,0.01","2,5,10,20","0.05,0.1,0.25,0.5,1.0","0,0.25,0.5,1.0","0.5,1,2","0,0.25,0.5,1,2",12,2500,inner
