model,family,feature_count,suite,n_tickers,smape_pct_mean,smape_pct_se,rmse_mean,rmse_se,mae_mean,mae_se,medae_mean,medae_se,diracc_pct_mean,diracc_pct_se
COMP_COPRIME_FC6,COMP_COPRIME,6.0,modulo,10,101.40362855166958,7.656973418161583,0.0013961571622928518,0.00017343354865827535,0.0005944273031649242,7.603933217401587e-05,0.00040831559416041555,5.387972793117028e-05,59.11315905297338,3.8217014632157182
COMP_COPRIME_FC9,COMP_COPRIME,9.0,modulo,10,101.4023627915212,7.660660343851701,0.0013961485575654706,0.00017339416777039981,0.0005943850925996538,7.599815076029391e-05,0.0004078979124671719,5.379708185731627e-05,59.12050723815271,3.8226153072767013
COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,modulo,10,101.41584713421346,7.658352946335542,0.0013962763427471687,0.00017343555182457304,0.0005945699425312526,7.605994425123226e-05,0.0004085273628882599,5.396569215521016e-05,59.093298422821796,3.819618010729089
COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,modulo,10,101.41265066526907,7.661048992573462,0.0013962110635395467,0.00017340027099262505,0.0005945241969420119,7.603960140792442e-05,0.00040832573557536756,5.393527882941661e-05,59.107436557169365,3.815185805483112
CP,CP,10.0,core,10,100.880775081765,7.793621290905142,0.001388676185178812,0.00017223681346382954,0.0005862345983716452,7.480776858766333e-05,0.00039372382033510997,5.18189878467638e-05,59.490043906877005,3.902678088218092
CP_FC3,CP_FC,3.0,capacity,10,101.44591734006713,7.650708196668265,0.0013963941657823627,0.00017351054861525144,0.0005949310107386257,7.623432053793692e-05,0.00041101423014662996,5.476263132171669e-05,59.01703288794405,3.806710382263494
CP_FC6,CP_FC,6.0,capacity,10,100.9375099330394,7.7705631407583935,0.0013907648476488251,0.00017264579770732128,0.0005886274356134697,7.528601410147111e-05,0.0003988565796045349,5.288303440208496e-05,59.350705199714696,3.8736518993657096
CP_FC9,CP_FC,9.0,capacity,10,100.87592471384542,7.793013717762609,0.001389244197774508,0.0001723479398562964,0.0005867148341299473,7.492844547057078e-05,0.00039474570316357885,5.210800058056324e-05,59.45492751697545,3.896256865078769
CRS_FC3_S0,CRS,3.0,random,10,101.01067765398787,7.69871858187501,0.0013950390935968285,0.00017328996802783752,0.0005891215207067745,7.509292479959821e-05,0.00040103894721239006,5.299372048804579e-05,59.31263961667179,3.8528179163264373
CRS_FC3_S1,CRS,3.0,random,10,101.56640096521096,7.639775175909883,0.0013979305044387136,0.00017357658506800852,0.0005964147608839966,7.589401742906613e-05,0.00041399348524130003,5.438913959713545e-05,58.961531656595355,3.7897714467229777
CRS_FC3_S2,CRS,3.0,random,10,101.16367579099457,7.686637539443482,0.0013955847304730773,0.00017331735648332673,0.0005912681579624869,7.547242726942051e-05,0.00040432618210839834,5.340278565853327e-05,59.20295950436024,3.8344121756821385
CRS_FC6_S0,CRS,6.0,random,10,100.94913435156676,7.712601247870685,0.0013940340044845633,0.00017307005726796714,0.0005880093769155026,7.492901350345465e-05,0.0003980999787111487,5.251534134107805e-05,59.36218652279864,3.866731670821444
CRS_FC6_S1,CRS,6.0,random,10,101.23253618874313,7.695763665314421,0.0013956999772265766,0.0001733093607471613,0.0005911893613056107,7.530452896571573e-05,0.00040444732807342585,5.325361910057203e-05,59.210027418153835,3.846349230388777
CRS_FC6_S2,CRS,6.0,random,10,101.13147994221774,7.696498000224343,0.001395416175657823,0.00017326311384266885,0.0005905514410522809,7.528567580962783e-05,0.00040292578977013996,5.318910825713168e-05,59.238060900319354,3.8402139452153894
CRS_FC9_S0,CRS,9.0,random,10,100.95802664890591,7.714510929736094,0.0013940590503102146,0.0001730428675258111,0.0005880579371584146,7.493305232745032e-05,0.0003980179656150985,5.245620965007537e-05,59.350204632712995,3.866153514268943
