time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-08 23:09:37 UTC,AAPL,capacity,PM_FC3,PM_FC,3,complete,36739,354.224938918,
2026-06-08 23:15:15 UTC,AAPL,capacity,CP_FC3,CP_FC,3,complete,36739,338.19508497400005,
2026-06-08 23:21:23 UTC,AAPL,capacity,EQWIN_FC3,EQWIN,3,complete,36739,368.02022141399993,
2026-06-08 23:27:38 UTC,AAPL,capacity,PREFIX_FC3,PREFIX,3,complete,36739,374.929974182,
2026-06-08 23:35:16 UTC,AAPL,capacity,PM_FC6,PM_FC,6,complete,36739,458.10662088799995,
2026-06-08 23:42:36 UTC,AAPL,capacity,CP_FC6,CP_FC,6,complete,36739,440.0461676240002,
2026-06-08 23:50:33 UTC,AAPL,capacity,EQWIN_FC6,EQWIN,6,complete,36739,476.80939594599977,
2026-06-08 23:58:16 UTC,AAPL,capacity,PREFIX_FC6,PREFIX,6,complete,36739,462.26644714400027,
2026-06-09 00:07:09 UTC,AAPL,capacity,PM_FC9,PM_FC,9,complete,36739,533.2911479320001,
2026-06-09 00:15:49 UTC,AAPL,capacity,CP_FC9,CP_FC,9,complete,36739,520.5205805779997,
2026-06-09 00:25:22 UTC,AAPL,capacity,EQWIN_FC9,EQWIN,9,complete,36739,572.5308475499996,
2026-06-09 00:35:05 UTC,AAPL,capacity,PREFIX_FC9,PREFIX,9,complete,36739,583.361398217,
