time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-08 23:10:26 UTC,EEM,capacity,PM_FC3,PM_FC,3,complete,36739,404.680844336,
2026-06-08 23:16:56 UTC,EEM,capacity,CP_FC3,CP_FC,3,complete,36739,389.215121232,
2026-06-08 23:23:41 UTC,EEM,capacity,EQWIN_FC3,EQWIN,3,complete,36739,405.41994434799994,
2026-06-08 23:30:27 UTC,EEM,capacity,PREFIX_FC3,PREFIX,3,complete,36739,406.17440977399997,
2026-06-08 23:39:28 UTC,EEM,capacity,PM_FC6,PM_FC,6,complete,36739,540.090021559,
2026-06-08 23:48:11 UTC,EEM,capacity,CP_FC6,CP_FC,6,complete,36739,523.643355148,
2026-06-08 23:57:35 UTC,EEM,capacity,EQWIN_FC6,EQWIN,6,complete,36739,563.8091933709998,
2026-06-09 00:07:04 UTC,EEM,capacity,PREFIX_FC6,PREFIX,6,complete,36739,568.6144767010001,
2026-06-09 00:18:30 UTC,EEM,capacity,PM_FC9,PM_FC,9,complete,36739,685.9847679619998,
2026-06-09 00:29:56 UTC,EEM,capacity,CP_FC9,CP_FC,9,complete,36739,686.4042097279998,
2026-06-09 00:42:16 UTC,EEM,capacity,EQWIN_FC9,EQWIN,9,complete,36739,740.1278399929997,
2026-06-09 00:54:35 UTC,EEM,capacity,PREFIX_FC9,PREFIX,9,complete,36739,738.5190915660005,
