time_utc,ticker,suite,model,family,feature_count,status,n_obs,seconds,error
2026-06-08 23:10:33 UTC,TLT,capacity,PM_FC3,PM_FC,3,complete,36739,408.179350776,
2026-06-08 23:17:04 UTC,TLT,capacity,CP_FC3,CP_FC,3,complete,36739,390.5434265549999,
2026-06-08 23:23:58 UTC,TLT,capacity,EQWIN_FC3,EQWIN,3,complete,36739,414.2774293,
2026-06-08 23:30:57 UTC,TLT,capacity,PREFIX_FC3,PREFIX,3,complete,36739,418.38080276999995,
2026-06-08 23:39:26 UTC,TLT,capacity,PM_FC6,PM_FC,6,complete,36739,509.6617934200001,
2026-06-08 23:47:36 UTC,TLT,capacity,CP_FC6,CP_FC,6,complete,36739,489.99233387799995,
2026-06-08 23:56:22 UTC,TLT,capacity,EQWIN_FC6,EQWIN,6,complete,36739,525.1557191739998,
2026-06-09 00:05:09 UTC,TLT,capacity,PREFIX_FC6,PREFIX,6,complete,36739,527.1202398410001,
2026-06-09 00:15:25 UTC,TLT,capacity,PM_FC9,PM_FC,9,complete,36739,615.6638375840002,
2026-06-09 00:25:24 UTC,TLT,capacity,CP_FC9,CP_FC,9,complete,36739,599.4504983750003,
2026-06-09 00:36:15 UTC,TLT,capacity,EQWIN_FC9,EQWIN,9,complete,36739,650.4213603210001,
2026-06-09 00:47:10 UTC,TLT,capacity,PREFIX_FC9,PREFIX,9,complete,36739,655.207707478,
